QueueRank,Candidate,Role,Window,From,To,ChannelExit,MomentumFailureExit,MaximumHoldBars,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,TotalTrades,MaxDrawdownPercent,RecoveryFactor,ReturnDrawdown,SourceSha256,BinarySha256,ProfileSha256,ConfigSha256,ReportSha256
11,mea_no_time,single_ablation,later_2019_2020,2019.01.01,2020.12.31,true,true,0,370.41,3.7,1.84,1.94,75,0.93,3.9135,3.9785,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,D99121A4C0963DAB55C6A1AB0D102EFD18CD2545557DFF898B853FFE14660E4A,E5F2085E10FBE0690E27CE4B3F8D640579B3FC70BAC5801439F73A5D30346043,B286879EA5D2BBF6EBAF696E771EDA274EB1E2A89631F3BB788C24817269DB8C
12,mea_no_time,single_ablation,continuous_2015_2020,2015.01.01,2020.12.31,true,true,0,1353.74,13.54,2.14,1.85,265,1.06,11.4559,12.7736,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,D99121A4C0963DAB55C6A1AB0D102EFD18CD2545557DFF898B853FFE14660E4A,823A9977FA9BF4483DF297C99A6BBD15EBBCF7F27E4FDEAB04A16CE58B7B7A07,DA5CCCC9DA27F2951B7E649D6038B634ACB8FD54F663787173503760C7F8C2BC
13,mea_channel_only,isolated_exit,older_2015_2018,2015.01.01,2018.12.31,true,false,0,1001.72,10.02,2.42,1.9,187,1.11,8.5464,9.027,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,91DE3DF438BE39C1A21AE40B8645B26BE2C451BDF936C74602CA703AC8A7B701,033488865EF4AA461E75C373133DF16F2A8FD42325F51010BCABF32678CEF7CC,3A90559A1D720D4F8881169E299A7F8938149D909D3FA4B004B9B173711BD0C9
14,mea_channel_only,isolated_exit,later_2019_2020,2019.01.01,2020.12.31,true,false,0,370.41,3.7,1.84,1.94,75,0.93,3.9135,3.9785,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,91DE3DF438BE39C1A21AE40B8645B26BE2C451BDF936C74602CA703AC8A7B701,A6966584ED1F324434838B08EA32BC5C91F5F5942EBD506BB2170DF019D08F10,E1C5F5971E0DE2241D2315EB417E2547606666D65B0C6EC7F834508F219D6064
15,mea_channel_only,isolated_exit,continuous_2015_2020,2015.01.01,2020.12.31,true,false,0,1353.74,13.54,2.14,1.85,265,1.06,11.4559,12.7736,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,91DE3DF438BE39C1A21AE40B8645B26BE2C451BDF936C74602CA703AC8A7B701,9B7CB049626AAF284BB973F07DD9069D48CA258369A04E5B6FF445C44815BC22,7E9159E1D73224D7D169935F563AB6063396FFE0690F464DD7C5C3FA641D4377
16,mea_momentum_only,isolated_exit,older_2015_2018,2015.01.01,2018.12.31,false,true,0,879.08,8.79,2.13,1.67,188,1.17,7.1435,7.5128,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,D59464DE4C4F2D6C6D40F4D1484EB81B15F8BEFDF71247C39F35813C1FF3BB44,9D4010025174BE1E5F4E60E87500CFB2320426CDC638474B288D471E22866DA4,48DDE088505835A5FF80FD4F43FCF5A679964ACD858102472636167E4C1B9862
17,mea_momentum_only,isolated_exit,later_2019_2020,2019.01.01,2020.12.31,false,true,0,428.75,4.29,2.12,2.05,74,1.15,3.6743,3.7304,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,D59464DE4C4F2D6C6D40F4D1484EB81B15F8BEFDF71247C39F35813C1FF3BB44,675C2F93B09CCFA9CEA0C3B21A79A1E6655BF7E4B7A690D1F7943F505DB631BE,252CADD1C15F83EC372D1749763E9376A4BCDE15494909CA5A29FE27484FA31A
18,mea_momentum_only,isolated_exit,continuous_2015_2020,2015.01.01,2020.12.31,false,true,0,1302.73,13.03,2.06,1.73,265,1.24,9.5368,10.5081,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,D59464DE4C4F2D6C6D40F4D1484EB81B15F8BEFDF71247C39F35813C1FF3BB44,2047462E7DF05E03A375049D30E7355E051BD6BA266E57DCA73894006556836D,03B4C5B91BEA88A3C430FD3B8F952F8F8CA36647F34EC68F0320DDB5718637A3
19,mea_time_only,isolated_exit,older_2015_2018,2015.01.01,2018.12.31,false,false,120,879.08,8.79,2.13,1.67,188,1.17,7.1435,7.5128,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,6169AEE81752E70F9C980A71926BB127F80938CCED0681E22D0E03D6B945FD1B,D8FC77F84DFEFCD9A516C49E5A6A1B6F6CE06CBDF072B83C5C04208CE3C2D592,64DCA47E1A1625FA3686DB87776538F59AF0BB6C9E0A2F514451205A0B6DCFA5
20,mea_time_only,isolated_exit,later_2019_2020,2019.01.01,2020.12.31,false,false,120,428.75,4.29,2.12,2.05,74,1.15,3.6743,3.7304,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,6169AEE81752E70F9C980A71926BB127F80938CCED0681E22D0E03D6B945FD1B,04EC5C3E5EBC22D3C809AE388AF3555B26998D973204FF8E6A4544EB108D6127,43E13EB457D4473C4B687227607B1CB44800E1FED864B2D07AD650D4172860B9
21,mea_time_only,isolated_exit,continuous_2015_2020,2015.01.01,2020.12.31,false,false,120,1302.73,13.03,2.06,1.73,265,1.24,9.5368,10.5081,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,6169AEE81752E70F9C980A71926BB127F80938CCED0681E22D0E03D6B945FD1B,EDB4A97E4BA6A7784E882F9EA978DDB3724DDE82907A0248A5974719CE79FDBF,9C645C9F1C17AB424B7F7841183E6886B9FF7BB220CC53110807EB2D75FE5343
22,mea_fixed_only,fixed_stop_target_only,older_2015_2018,2015.01.01,2018.12.31,false,false,0,879.08,8.79,2.13,1.67,188,1.17,7.1435,7.5128,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,8DD0E66A0C4661991A716FFDFDF0E9BA909BAB646FCC4B2BB26BF6D71A822B03,4A6048CE6D01BF803D37BF3161B8DE868F03465EA6F0808F2F13CAC450702464,7DBCCEDAC8017398574652D9770065746A98CF60966F5BAA405053A7694D6F19
23,mea_fixed_only,fixed_stop_target_only,later_2019_2020,2019.01.01,2020.12.31,false,false,0,428.75,4.29,2.12,2.05,74,1.15,3.6743,3.7304,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,8DD0E66A0C4661991A716FFDFDF0E9BA909BAB646FCC4B2BB26BF6D71A822B03,F64CC28F49B4080E41FF78AAF5132DDEFDA048D51A486E90F11D71F53E30CE2A,BC2594B0E0BB49A66B4872C9E8044A5348A8493F29D98478D73FF88E23E4B69F
24,mea_fixed_only,fixed_stop_target_only,continuous_2015_2020,2015.01.01,2020.12.31,false,false,0,1302.73,13.03,2.06,1.73,265,1.24,9.5368,10.5081,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,8DD0E66A0C4661991A716FFDFDF0E9BA909BAB646FCC4B2BB26BF6D71A822B03,D6A2C6A2EB3CBB42912665E708BEF60F8A003964BEFE5B36DAF35B032E242E56,0748EA67DCF205676319A8FBB6DEA242410C5678F117C08E4FECB320C3B9C7D9
