"Metric","Value"
"OriginalInputCount","1802"
"KeptInputCount","346"
"ConvertedToGlobals","1456"
"OutSourcePath",".\outputs\Professional_XAUUSD_EA_LOWATR_PEAK_R20_SPLIT_COMPACT.mq5"
