Profile,MomentumMaximumRiskPercent,AdaptiveMaximumRiskPercent,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,Trades,MaxDrawdownPercent,RecoveryFactor,ReturnDrawdown,Decision
rr2_control,0.15,0.15,2195.53,21.96,1.74,1.83,415,1.17,15.8168,18.769,CONTROL
rr2_at250,0.15,0.25,2314.72,23.15,1.82,1.82,415,1.28,16.3296,18.086,REJECT_INITIAL_SCREEN
rr2_at300,0.15,0.30,2538.11,25.38,1.98,1.85,415,1.36,16.7388,18.662,REJECT_INITIAL_SCREEN
rr2_pair_low,0.175,0.25,2480.88,24.81,1.94,1.77,415,1.49,14.9154,16.651,REJECT_INITIAL_SCREEN
rr2_pair_center,0.175,0.30,2832.59,28.33,2.19,1.83,416,1.50,16.3280,18.887,NEIGHBORHOOD_REQUIRED
rr2_pair_high,0.20,0.30,2886.28,28.86,2.22,1.75,416,1.76,14.0513,16.398,REJECT_INITIAL_SCREEN
