"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","PriorDayMoveATR","PriorDayBodyPercent","MaximumAsianRangeATR","MinimumAsianDriftATR","EntryHour","SignalBodyPercent","TakeProfitR","StopRule","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","RunnerSourceSha256","PortableBinarySha256"
"1","odc_center","1","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_odc_center_older_2015_2018_m1.ini","odc_center_older_2015_2018_m1","profiles\odc_center.set","93714B18CCB6E927EC8EB3CF6097896F947DEE281EF23A48A27CBEB20D6EAF2C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_center_older_2015_2018_m1.htm","9977DCE464239E02276A9F2D182DE775A7E2C5351D0D25D67EE856C43A25F66A","10000","1460","3.9973","90.87","10090.87","0.91","0.23","0.23","1.22","0.76","2.75","49.17","120","6","59.31","0.59","51.03","59.31","1.5321","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"3","odc_center","1","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_odc_center_discovery_2019_2020_m1.ini","odc_center_discovery_2019_2020_m1","profiles\odc_center.set","93714B18CCB6E927EC8EB3CF6097896F947DEE281EF23A48A27CBEB20D6EAF2C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_center_discovery_2019_2020_m1.htm","B10BE9D9DEC9EEEB411D0964E1E9DF031C87791BDB37FAD51B444D29819DE3A0","10000","730","1.9986","25.43","10025.43","0.25","0.13","0.13","1.19","0.65","2.68","53.85","39","3","41.44","0.41","39.17","41.44","0.6137","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"4","odc_center","1","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_odc_center_continuous_2015_2020_m1.ini","odc_center_continuous_2015_2020_m1","profiles\odc_center.set","93714B18CCB6E927EC8EB3CF6097896F947DEE281EF23A48A27CBEB20D6EAF2C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_center_continuous_2015_2020_m1.htm","12FDDCB41664EEA6CC035092198DA40D053BA8A5CC2C06C6366D7E9AA968B732","10000","2191","5.9986","116.69","10116.69","1.17","0.19","0.19","1.21","0.73","2.72","50.31","159","6","73.93","0.73","65.75","73.93","1.5784","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"6","odc_prior020","2","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_prior020.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_odc_prior020_older_2015_2018_m1.ini","odc_prior020_older_2015_2018_m1","profiles\odc_prior020.set","D1D3D52D532613E8E20D876DCB6D48330A50CD35ED14B3CF824C818415C5F636","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.20","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_prior020_older_2015_2018_m1.htm","640D280798A4CCF860CE66E6D3DF8C15533D40AAE95707DDE804EDDF7C0A8CF1","10000","1460","3.9973","114.44","10114.44","1.14","0.29","0.29","1.27","0.92","3.3","49.6","125","6","59.31","0.58","51.03","59.31","1.9295","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"7","odc_prior020","2","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_prior020.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_odc_prior020_discovery_2019_2020_m1.ini","odc_prior020_discovery_2019_2020_m1","profiles\odc_prior020.set","D1D3D52D532613E8E20D876DCB6D48330A50CD35ED14B3CF824C818415C5F636","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.20","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_prior020_discovery_2019_2020_m1.htm","D3CD35F7492FC81DE3CB8E41A862E61C145DD24EC5FB7E248A8BD142D1347618","10000","730","1.9986","33.18","10033.18","0.33","0.17","0.17","1.24","0.81","3.35","53.66","41","3","41.44","0.41","39.17","41.44","0.8007","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"9","odc_prior020","2","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_prior020.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_odc_prior020_continuous_2015_2020_m1.ini","odc_prior020_continuous_2015_2020_m1","profiles\odc_prior020.set","D1D3D52D532613E8E20D876DCB6D48330A50CD35ED14B3CF824C818415C5F636","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.20","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_prior020_continuous_2015_2020_m1.htm","75A43B915F5F1354641869821881E588F29FD1DB9CF8560E0CCA4F95BDD765D7","10000","2191","5.9986","148.01","10148.01","1.48","0.25","0.25","1.26","0.89","3.3","50.6","166","6","73.93","0.73","65.75","73.93","2.002","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"10","odc_prior040","3","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_prior040.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_odc_prior040_older_2015_2018_m1.ini","odc_prior040_older_2015_2018_m1","profiles\odc_prior040.set","668BAC6D2A8E1D1989CC19BD9EECF90336F1F04280BAB2C253EED83F5AB5EFFE","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.40","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_prior040_older_2015_2018_m1.htm","368167EA6DDABC9C7F06B757BE82B970AB9AB4BEAD068C09D3C31878B28BDC7F","10000","1460","3.9973","72.46","10072.46","0.72","0.18","0.18","1.19","0.65","2.4","48.65","111","6","59.31","0.59","51.03","59.31","1.2217","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"12","odc_prior040","3","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_prior040.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_odc_prior040_discovery_2019_2020_m1.ini","odc_prior040_discovery_2019_2020_m1","profiles\odc_prior040.set","668BAC6D2A8E1D1989CC19BD9EECF90336F1F04280BAB2C253EED83F5AB5EFFE","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.40","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_prior040_discovery_2019_2020_m1.htm","373EB0A4F03991716B520B10587A413096C3ABAEA99F71855BDF484D21284BFF","10000","730","1.9986","28.46","10028.46","0.28","0.14","0.14","1.25","0.81","3.43","54.29","35","2","27.17","0.27","22.84","27.17","1.0475","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"13","odc_prior040","3","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_prior040.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_odc_prior040_continuous_2015_2020_m1.ini","odc_prior040_continuous_2015_2020_m1","profiles\odc_prior040.set","668BAC6D2A8E1D1989CC19BD9EECF90336F1F04280BAB2C253EED83F5AB5EFFE","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.40","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_prior040_continuous_2015_2020_m1.htm","94482F5C60EE92CEE070B2316C72EF9FC7FD043C9BAB938D2121B0325423A876","10000","2191","5.9986","100.92","10100.92","1.01","0.17","0.17","1.2","0.69","2.62","50","146","6","59.31","0.59","51.03","59.31","1.7016","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"15","odc_priorbody35","4","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_priorbody35.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_odc_priorbody35_older_2015_2018_m1.ini","odc_priorbody35_older_2015_2018_m1","profiles\odc_priorbody35.set","C0C761D74889D70C789B7EC5EE5C8FB04765FB8C92417C5A85BCE789B13F4BEA","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","35.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_priorbody35_older_2015_2018_m1.htm","8547984FFEAEA111B4B99034AE7D93040935F07115D4A26310837D00894782F5","10000","1460","3.9973","78.66","10078.66","0.79","0.2","0.2","1.17","0.56","2.02","48.57","140","6","57.61","0.57","50.64","57.61","1.3654","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
