"Candidate","AdaptiveEnabled","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousTotalReturnPercent","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","ReturnDrawdownEfficiency","BasicPass","ControlRelativeQualityPass","AdjacentPass","PassingNeighbors","Decision"
"avp_baseline252","true","808.29","1.82","152","-210.14","0.73","72","609.95","6.1","0.99","1.34","225","3.43","1.7784","False","False","False","","REJECT_BEFORE_HOLDOUT"
"avp_baseline63","true","821.49","1.83","152","-212.41","0.72","72","669.68","6.7","1.09","1.38","225","3.29","2.0365","False","False","False","","REJECT_BEFORE_HOLDOUT"
"avp_bounds80_120","true","811.49","1.82","152","-177.16","0.75","72","590.71","5.91","0.96","1.33","225","3.57","1.6555","False","False","False","","REJECT_BEFORE_HOLDOUT"
"avp_bounds85_115","true","808.26","1.83","152","-151.25","0.78","72","636.26","6.36","1.03","1.36","225","3.46","1.8382","False","False","False","","REJECT_BEFORE_HOLDOUT"
"avp_center","true","810.02","1.82","152","-172.06","0.76","72","628","6.28","1.02","1.35","225","3.43","1.8309","False","False","False","","REJECT_BEFORE_HOLDOUT"
"avp_downside_only","true","747.55","1.82","152","-138.44","0.78","72","606.77","6.07","0.99","1.38","225","2.8","2.1679","False","False","False","","REJECT_BEFORE_HOLDOUT"
"avp_fixed_control","false","814.7","1.87","152","-105.45","0.84","72","694.13","6.94","1.13","1.42","225","2.77","2.5054","False","False","False","","CONTROL_ONLY"
"avp_upside_only","true","875.02","1.86","152","-131.67","0.82","72","715.75","7.16","1.16","1.38","225","3.4","2.1059","False","False","False","","REJECT_BEFORE_HOLDOUT"
