"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"","","annual_model4","tlat_di12_atb10_center","three_lane","year_2015","2015.01.01","2015.12.31","tlat_di12_atb10_center_year_2015_m4","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_adaptive_trend_model4_annual_package\reports_here\tlat_di12_atb10_center_year_2015_m4.htm","10000","364","0.9966","171.91","10171.91","1.72","1.73","1.73","2.15","7.81","27.18","54.55","22","2","87.71","0.87","47.33","87.71","1.96"
"","","annual_model4","tlat_di12_atb10_center","three_lane","year_2016","2016.01.01","2016.12.31","tlat_di12_atb10_center_year_2016_m4","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_adaptive_trend_model4_annual_package\reports_here\tlat_di12_atb10_center_year_2016_m4.htm","10000","365","0.9993","214.49","10214.49","2.14","2.15","2.15","2.1","5.96","27.41","44.44","36","4","52.5","0.52","29.51","52.5","4.0855"
"","","annual_model4","tlat_di12_atb10_center","three_lane","year_2017","2017.01.01","2017.12.31","tlat_di12_atb10_center_year_2017_m4","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_adaptive_trend_model4_annual_package\reports_here\tlat_di12_atb10_center_year_2017_m4.htm","10000","364","0.9966","154.66","10154.66","1.55","1.55","1.55","1.45","3.16","18.75","42.86","49","6","106.11","1.06","95.16","106.11","1.4575"
"","","annual_model4","tlat_di12_atb10_center","three_lane","year_2018","2018.01.01","2018.12.31","tlat_di12_atb10_center_year_2018_m4","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_adaptive_trend_model4_annual_package\reports_here\tlat_di12_atb10_center_year_2018_m4.htm","10000","364","0.9966","256.79","10256.79","2.57","2.58","2.58","1.98","4.85","27.15","49.06","53","3","58.84","0.57","48.24","58.84","4.3642"
"","","annual_model4","tlat_di12_atb10_center","three_lane","year_2019","2019.01.01","2019.12.31","tlat_di12_atb10_center_year_2019_m4","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_adaptive_trend_model4_annual_package\reports_here\tlat_di12_atb10_center_year_2019_m4.htm","10000","364","0.9966","15.07","10015.07","0.15","0.15","0.15","1.09","0.46","0.91","36.36","33","6","85.18","0.85","63.44","85.18","0.1769"
"","","annual_model4","tlat_di12_atb10_center","three_lane","year_2020","2020.01.01","2020.12.31","tlat_di12_atb10_center_year_2020_m4","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_adaptive_trend_model4_annual_package\reports_here\tlat_di12_atb10_center_year_2020_m4.htm","10000","365","0.9993","183.77","10183.77","1.84","1.84","1.84","2","6.81","8.23","48.15","27","3","66.32","0.65","53.2","66.32","2.771"
"","","annual_model4","tlat_di12_atb10_center","three_lane","year_2021","2021.01.01","2021.12.31","tlat_di12_atb10_center_year_2021_m4","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_adaptive_trend_model4_annual_package\reports_here\tlat_di12_atb10_center_year_2021_m4.htm","10000","364","0.9966","313.13","10313.13","3.13","3.14","3.14","2.36","10.44","39.41","30","30","8","115.77","1.16","79.58","115.77","2.7048"
"","","annual_model4","tlat_di12_atb10_center","three_lane","year_2022","2022.01.01","2022.12.31","tlat_di12_atb10_center_year_2022_m4","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_adaptive_trend_model4_annual_package\reports_here\tlat_di12_atb10_center_year_2022_m4.htm","10000","364","0.9966","16.22","10016.22","0.16","0.16","0.16","1.07","0.45","2.99","41.67","36","4","95.61","0.96","84.47","95.61","0.1696"
"","","annual_model4","tlat_di12_atb10_center","three_lane","year_2023","2023.01.01","2023.12.31","tlat_di12_atb10_center_year_2023_m4","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_adaptive_trend_model4_annual_package\reports_here\tlat_di12_atb10_center_year_2023_m4.htm","10000","364","0.9966","160.8","10160.8","1.61","1.61","1.61","1.66","4.02","15.62","45","40","6","125.81","1.24","76.54","125.81","1.2781"
"","","annual_model4","tlat_di12_atb10_center","three_lane","year_2024","2024.01.01","2024.12.31","tlat_di12_atb10_center_year_2024_m4","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_adaptive_trend_model4_annual_package\reports_here\tlat_di12_atb10_center_year_2024_m4.htm","10000","365","0.9993","233.81","10233.81","2.34","2.34","2.34","2.44","8.06","21.39","48.28","29","4","108.51","1.08","58.83","108.51","2.1547"
