"Check","Pass","Evidence"
"candidate source exists","True","work\Professional_XAUUSD_Three_Lane_Adaptive_Trend_Trade_Ready_RC2.mq5"
"candidate profile exists","True","generated center profile"
"source identity is frozen","True","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158"
"profile identity is frozen","True","60BF5D013153E3A38A6BD932E88CB41BD8FEAB5108648DDCBA1CCCCDD4D737F3"
"source marker: bool VerifiedGlobalSet(const string key, const double value)","True","bool VerifiedGlobalSet(const string key, const double value)"
"source marker: bool VerifiedGlobalDelete(const string key)","True","bool VerifiedGlobalDelete(const string key)"
"source marker: bool TradeResultAllows(CTrade &trade, const bool allowNoChanges = false)","True","bool TradeResultAllows(CTrade &trade, const bool allowNoChanges = false)"
"source marker: bool SelectOwnedPosition(const ulong ticket, const ulong magic)","True","bool SelectOwnedPosition(const ulong ticket, const ulong magic)"
"source marker: bool CloseOwnedPosition(CTrade &trade,","True","bool CloseOwnedPosition(CTrade &trade,"
"source marker: bool ModifyOwnedPosition(CTrade &trade,","True","bool ModifyOwnedPosition(CTrade &trade,"
"source marker: bool DeleteOwnedOrder(CTrade &trade,","True","bool DeleteOwnedOrder(CTrade &trade,"
"source marker: bool AuditManagedOrders()","True","bool AuditManagedOrders()"
"source marker: bool StaticSafetyAllows(string &reason)","True","bool StaticSafetyAllows(string &reason)"
"source marker: bool TradeEnvironmentAllows(string &reason)","True","bool TradeEnvironmentAllows(string &reason)"
"source marker: bool PostFillReconcile(CTrade &trade,","True","bool PostFillReconcile(CTrade &trade,"
"source marker: bool RejectPostFill(CTrade &trade,","True","bool RejectPostFill(CTrade &trade,"
"source marker: if(!OrderCalcProfit(orderType, symbol, lots, entryPrice, stopPrice, stopProfit))","True","if(!OrderCalcProfit(orderType, symbol, lots, entryPrice, stopPrice, stopProfit))"
"source marker: g_guardTrade.SetAsyncMode(false);","True","g_guardTrade.SetAsyncMode(false);"
"all entries run post-fill reconciliation","True","expected=3"
