"Metric","Value"
"OriginalInputCount","1815"
"KeptInputCount","362"
"ConvertedToGlobals","1453"
"OutSourcePath",".\outputs\Professional_XAUUSD_EA_PEAK_R20_DGF_PERF_RISK_COMPACT.mq5"
