"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","StopLookbackBars","Status","ReportPath","ProfileSha256","SourceSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","rvsg_control5","1","control","reversion_stop_geometry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","5","PARSED","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_control5_older_2015_2018_m1.htm","56E1F0B21109B0FEA5CADBD56BBD813CD9AB27FDD23CA52B65A8E52D1C216607","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","1460","3.9973","1036.19","11036.19","10.36","2.59","2.5","1.96","5.63","5.45","45.65","184","6","117.21","1.11","8.8405"
"2","rvsg_control5","1","control","reversion_stop_geometry_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","5","PARSED","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_control5_discovery_2019_2020_m1.htm","56E1F0B21109B0FEA5CADBD56BBD813CD9AB27FDD23CA52B65A8E52D1C216607","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","730","1.9986","370.6","10370.6","3.71","1.85","1.84","1.94","5.01","5.64","47.3","74","6","94.65","0.93","3.9155"
"3","rvsg_control5","1","control","reversion_stop_geometry_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","5","PARSED","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_control5_continuous_2015_2020_m1.htm","56E1F0B21109B0FEA5CADBD56BBD813CD9AB27FDD23CA52B65A8E52D1C216607","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","2191","5.9986","1379.93","11379.93","13.8","2.3","2.18","1.88","5.29","5.15","45.98","261","6","118.17","1.05","11.6775"
"4","rvsg_stop2","2","lower_boundary","reversion_stop_geometry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","2","PARSED","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop2_older_2015_2018_m1.htm","662C602ED818DB820E2525B1BF5CDEBBAFC4A57100D62019FF33571E59703838","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","1460","3.9973","1076.23","11076.23","10.76","2.69","2.59","2","5.82","5.59","45.95","185","6","117.11","1.11","9.1899"
"5","rvsg_stop2","2","lower_boundary","reversion_stop_geometry_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","2","PARSED","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop2_discovery_2019_2020_m1.htm","662C602ED818DB820E2525B1BF5CDEBBAFC4A57100D62019FF33571E59703838","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","730","1.9986","327.51","10327.51","3.28","1.64","1.63","1.75","4.37","4.87","46.67","75","6","98.9","0.95","3.3115"
"6","rvsg_stop2","2","lower_boundary","reversion_stop_geometry_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","2","PARSED","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop2_continuous_2015_2020_m1.htm","662C602ED818DB820E2525B1BF5CDEBBAFC4A57100D62019FF33571E59703838","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","2191","5.9986","1370.72","11370.72","13.71","2.29","2.16","1.85","5.21","5.05","46.01","263","6","118.17","1.05","11.5996"
"7","rvsg_center3","3","center","reversion_stop_geometry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","3","PARSED","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_center3_older_2015_2018_m1.htm","1D0023800F3CEE730AD27E5D9E4DCED1BDF422E40C3769018250DE56679BBDDA","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","1460","3.9973","1036.29","11036.29","10.36","2.59","2.5","1.96","5.63","5.45","45.65","184","6","117.11","1.11","8.8489"
"8","rvsg_center3","3","center","reversion_stop_geometry_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","3","PARSED","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_center3_discovery_2019_2020_m1.htm","1D0023800F3CEE730AD27E5D9E4DCED1BDF422E40C3769018250DE56679BBDDA","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","730","1.9986","370.6","10370.6","3.71","1.85","1.84","1.94","5.01","5.64","47.3","74","6","94.65","0.93","3.9155"
"9","rvsg_center3","3","center","reversion_stop_geometry_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","3","PARSED","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_center3_continuous_2015_2020_m1.htm","1D0023800F3CEE730AD27E5D9E4DCED1BDF422E40C3769018250DE56679BBDDA","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","2191","5.9986","1380.03","11380.03","13.8","2.3","2.18","1.88","5.29","5.15","45.98","261","6","118.17","1.05","11.6783"
"10","rvsg_stop4","4","upper_neighbor","reversion_stop_geometry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","4","PARSED","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop4_older_2015_2018_m1.htm","FFEC1C10ADEB9235381CE51C3ED384D71588F070B8FDD7F79EBF1E8FA25FFB87","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","1460","3.9973","1036.19","11036.19","10.36","2.59","2.5","1.96","5.63","5.45","45.65","184","6","117.21","1.11","8.8405"
