"QueueRank","Candidate","SourceType","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","SourceSha256","StopRule","Rationale"
"1","brs_uncapped_sweep_on","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_on.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\001_brs_uncapped_sweep_on_continuous_2019_2026_m1.ini","broker_risk_brs_uncapped_sweep_on_continuous_2019_2026_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity-sweep entries; no effective-risk cap."
"2","brs_uncapped_sweep_on","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_on.set","2019_full","2019.01.01","2019.12.31","1","configs\002_brs_uncapped_sweep_on_2019_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2019_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity-sweep entries; no effective-risk cap."
"3","brs_uncapped_sweep_on","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_on.set","2020_full","2020.01.01","2020.12.31","1","configs\003_brs_uncapped_sweep_on_2020_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2020_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity-sweep entries; no effective-risk cap."
"4","brs_uncapped_sweep_on","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_on.set","2021_full","2021.01.01","2021.12.31","1","configs\004_brs_uncapped_sweep_on_2021_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2021_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity-sweep entries; no effective-risk cap."
"5","brs_uncapped_sweep_on","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_on.set","2022_full","2022.01.01","2022.12.31","1","configs\005_brs_uncapped_sweep_on_2022_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2022_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity-sweep entries; no effective-risk cap."
"6","brs_uncapped_sweep_on","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_on.set","2023_full","2023.01.01","2023.12.31","1","configs\006_brs_uncapped_sweep_on_2023_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2023_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity-sweep entries; no effective-risk cap."
"7","brs_uncapped_sweep_on","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_on.set","2024_full","2024.01.01","2024.12.31","1","configs\007_brs_uncapped_sweep_on_2024_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2024_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity-sweep entries; no effective-risk cap."
"8","brs_uncapped_sweep_on","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_on.set","2025_full","2025.01.01","2025.12.31","1","configs\008_brs_uncapped_sweep_on_2025_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2025_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity-sweep entries; no effective-risk cap."
"9","brs_uncapped_sweep_on","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_on.set","2026_ytd","2026.01.01","2026.07.12","1","configs\009_brs_uncapped_sweep_on_2026_ytd_m1.ini","broker_risk_brs_uncapped_sweep_on_2026_ytd_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity-sweep entries; no effective-risk cap."
"10","brs_uncapped_sweep_off","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_off.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\010_brs_uncapped_sweep_off_continuous_2019_2026_m1.ini","broker_risk_brs_uncapped_sweep_off_continuous_2019_2026_m1","profiles\brs_uncapped_sweep_off.set","B27CF011E9808970D2F85FF3FBCEBB97742175CC694708970DDCC09602E6C8F9","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity-sweep entries; no effective-risk cap."
