2015.01.08 06:00:00	entry	XAUUSD	4	sell	0.02	1207.33	1214.53	0.00	daily momentum plus fresh H1 breakout;d1_pct=9.516157;breakout_atr=0.401475;body_ratio=0.728180;close_location=0.775561;range_atr=1.095180;channel_width_atr=2.559060;atr_pct=0.303260;tick_volume_ratio=0.688722;stop_atr=1.965356	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.01.08 15:00:00	exit	XAUUSD	5	close	0.02	1210.43	0.00	-6.20		tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.03.11 12:00:00	entry	XAUUSD	6	sell	0.02	1158.38	1165.01	0.00	daily momentum plus fresh H1 breakout;d1_pct=7.025716;breakout_atr=0.121296;body_ratio=0.553153;close_location=0.846847;range_atr=1.923410;channel_width_atr=4.040894;atr_pct=0.249085;tick_volume_ratio=1.224294;stop_atr=2.297193	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.03.12 01:05:00	exit	XAUUSD	7	close	0.02	1155.53	0.00	5.42		tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.05.13 15:00:00	entry	XAUUSD	8	buy	0.02	1197.21	1191.72	0.00	daily momentum plus fresh H1 breakout;d1_pct=2.696355;breakout_atr=0.223032;body_ratio=0.578616;close_location=0.651992;range_atr=2.045893;channel_width_atr=3.062406;atr_pct=0.194823;tick_volume_ratio=1.636309;stop_atr=2.356058	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.05.13 16:39:30	exit	XAUUSD	9	close	0.02	1208.21	0.00	22.00	tp 1208.20	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.06.04 16:00:00	entry	XAUUSD	11	sell	0.02	1178.93	1185.97	0.00	daily momentum plus fresh H1 breakout;d1_pct=1.712224;breakout_atr=0.152434;body_ratio=0.514604;close_location=0.666203;range_atr=2.490906;channel_width_atr=4.136497;atr_pct=0.244841;tick_volume_ratio=2.574846;stop_atr=2.438472	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.06.05 16:24:28	exit	XAUUSD	12	close	0.02	1164.85	0.00	28.07	tp 1164.85	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.06.30 14:00:00	entry	XAUUSD	16	sell	0.03	1173.14	1177.66	0.00	daily momentum plus fresh H1 breakout;d1_pct=0.761547;breakout_atr=0.276652;body_ratio=0.373938;close_location=0.450425;range_atr=1.683759;channel_width_atr=4.412115;atr_pct=0.178702;tick_volume_ratio=1.505809;stop_atr=2.155807	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.06.30 19:00:00	exit	XAUUSD	18	close	0.03	1176.70	0.00	-10.68		tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
