"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","ods2_center","discovery_model1","Independent M15 overnight-drift structure-v2 discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\001_ods2_center_older_2015_2018_m1.ini","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\001_ods2_center_older_2015_2018_m1.ini","ods2_center_older_2015_2018_m1","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_center_older_2015_2018_m1","4062B3A72E0136DEC90DC626504BBDD0978771242B9DC756B3FE22B7D742F5CC","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"3","ods2_center","discovery_model1","Independent M15 overnight-drift structure-v2 discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\002_ods2_center_discovery_2019_2020_m1.ini","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\002_ods2_center_discovery_2019_2020_m1.ini","ods2_center_discovery_2019_2020_m1","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_center_discovery_2019_2020_m1","4062B3A72E0136DEC90DC626504BBDD0978771242B9DC756B3FE22B7D742F5CC","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"4","ods2_center","discovery_model1","Independent M15 overnight-drift structure-v2 discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\003_ods2_center_continuous_2015_2020_m1.ini","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\003_ods2_center_continuous_2015_2020_m1.ini","ods2_center_continuous_2015_2020_m1","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_center_continuous_2015_2020_m1","4062B3A72E0136DEC90DC626504BBDD0978771242B9DC756B3FE22B7D742F5CC","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"6","ods2_lookback3","discovery_model1","Independent M15 overnight-drift structure-v2 discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\004_ods2_lookback3_older_2015_2018_m1.ini","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\004_ods2_lookback3_older_2015_2018_m1.ini","ods2_lookback3_older_2015_2018_m1","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_lookback3_older_2015_2018_m1","236F7D4F11372E016994D34811E5B72FC91BDC2A410C420EF68F961E8A17B266","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"7","ods2_lookback3","discovery_model1","Independent M15 overnight-drift structure-v2 discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\005_ods2_lookback3_discovery_2019_2020_m1.ini","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\005_ods2_lookback3_discovery_2019_2020_m1.ini","ods2_lookback3_discovery_2019_2020_m1","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_lookback3_discovery_2019_2020_m1","236F7D4F11372E016994D34811E5B72FC91BDC2A410C420EF68F961E8A17B266","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"9","ods2_lookback3","discovery_model1","Independent M15 overnight-drift structure-v2 discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\006_ods2_lookback3_continuous_2015_2020_m1.ini","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\006_ods2_lookback3_continuous_2015_2020_m1.ini","ods2_lookback3_continuous_2015_2020_m1","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_lookback3_continuous_2015_2020_m1","236F7D4F11372E016994D34811E5B72FC91BDC2A410C420EF68F961E8A17B266","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"10","ods2_lookback6","discovery_model1","Independent M15 overnight-drift structure-v2 discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\007_ods2_lookback6_older_2015_2018_m1.ini","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\007_ods2_lookback6_older_2015_2018_m1.ini","ods2_lookback6_older_2015_2018_m1","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_lookback6_older_2015_2018_m1","B0B6D2A5E68CC0560938E3A0E6F264ABA1D1731F4D4708D0D795A38E3C072FBE","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"12","ods2_lookback6","discovery_model1","Independent M15 overnight-drift structure-v2 discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\008_ods2_lookback6_discovery_2019_2020_m1.ini","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\008_ods2_lookback6_discovery_2019_2020_m1.ini","ods2_lookback6_discovery_2019_2020_m1","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_lookback6_discovery_2019_2020_m1","B0B6D2A5E68CC0560938E3A0E6F264ABA1D1731F4D4708D0D795A38E3C072FBE","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"13","ods2_lookback6","discovery_model1","Independent M15 overnight-drift structure-v2 discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\009_ods2_lookback6_continuous_2015_2020_m1.ini","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\009_ods2_lookback6_continuous_2015_2020_m1.ini","ods2_lookback6_continuous_2015_2020_m1","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_lookback6_continuous_2015_2020_m1","B0B6D2A5E68CC0560938E3A0E6F264ABA1D1731F4D4708D0D795A38E3C072FBE","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"15","ods2_buffer02","discovery_model1","Independent M15 overnight-drift structure-v2 discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\010_ods2_buffer02_older_2015_2018_m1.ini","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\010_ods2_buffer02_older_2015_2018_m1.ini","ods2_buffer02_older_2015_2018_m1","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_buffer02_older_2015_2018_m1","29EFF4AAF2329E4FD427B2CB995B5569F112BC1CFFD3BF6C12FD30C5B31AB651","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"16","ods2_buffer02","discovery_model1","Independent M15 overnight-drift structure-v2 discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\011_ods2_buffer02_discovery_2019_2020_m1.ini","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\configs\011_ods2_buffer02_discovery_2019_2020_m1.ini","ods2_buffer02_discovery_2019_2020_m1","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_buffer02_discovery_2019_2020_m1","29EFF4AAF2329E4FD427B2CB995B5569F112BC1CFFD3BF6C12FD30C5B31AB651","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
