"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","BreakLookback","SetupAge","MinimumGapATR","MinimumImpulseRangeATR","RetestHoldFraction","TakeProfitR","StopRule"
"11","m15fvg_b20_a4_tp20","4","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_a4_tp20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_m15fvg_b20_a4_tp20_discovery_2019_2020_m1.ini","m15fvg_b20_a4_tp20_discovery_2019_2020_m1","profiles\m15fvg_b20_a4_tp20.set","F9E62483E4240CF98CBFC0ECB5F1B2700D1DFBE9AB58BB66CA93AF8F447A792C","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","4","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"12","m15fvg_b20_a4_tp20","4","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_a4_tp20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_m15fvg_b20_a4_tp20_continuous_2015_2020_m1.ini","m15fvg_b20_a4_tp20_continuous_2015_2020_m1","profiles\m15fvg_b20_a4_tp20.set","F9E62483E4240CF98CBFC0ECB5F1B2700D1DFBE9AB58BB66CA93AF8F447A792C","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","4","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"13","m15fvg_b20_a12_tp20","5","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_a12_tp20.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_m15fvg_b20_a12_tp20_older_2015_2018_m1.ini","m15fvg_b20_a12_tp20_older_2015_2018_m1","profiles\m15fvg_b20_a12_tp20.set","A957E2533EAA55E2CBDE80E0D4075E2A581787F1EE9450E4A125E143D805DBFF","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","12","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"14","m15fvg_b20_a12_tp20","5","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_a12_tp20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_m15fvg_b20_a12_tp20_discovery_2019_2020_m1.ini","m15fvg_b20_a12_tp20_discovery_2019_2020_m1","profiles\m15fvg_b20_a12_tp20.set","A957E2533EAA55E2CBDE80E0D4075E2A581787F1EE9450E4A125E143D805DBFF","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","12","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"15","m15fvg_b20_a12_tp20","5","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_a12_tp20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_m15fvg_b20_a12_tp20_continuous_2015_2020_m1.ini","m15fvg_b20_a12_tp20_continuous_2015_2020_m1","profiles\m15fvg_b20_a12_tp20.set","A957E2533EAA55E2CBDE80E0D4075E2A581787F1EE9450E4A125E143D805DBFF","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","12","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"16","m15fvg_b20_gap10","6","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_gap10.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_m15fvg_b20_gap10_older_2015_2018_m1.ini","m15fvg_b20_gap10_older_2015_2018_m1","profiles\m15fvg_b20_gap10.set","BD6BB231946A80EC73A1889AF580F21F2783A2540B58DF8097B03F791297EF3A","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.10","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"17","m15fvg_b20_gap10","6","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_gap10.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_m15fvg_b20_gap10_discovery_2019_2020_m1.ini","m15fvg_b20_gap10_discovery_2019_2020_m1","profiles\m15fvg_b20_gap10.set","BD6BB231946A80EC73A1889AF580F21F2783A2540B58DF8097B03F791297EF3A","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.10","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"18","m15fvg_b20_gap10","6","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_gap10.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_m15fvg_b20_gap10_continuous_2015_2020_m1.ini","m15fvg_b20_gap10_continuous_2015_2020_m1","profiles\m15fvg_b20_gap10.set","BD6BB231946A80EC73A1889AF580F21F2783A2540B58DF8097B03F791297EF3A","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.10","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"19","m15fvg_b20_imp15","7","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_imp15.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_m15fvg_b20_imp15_older_2015_2018_m1.ini","m15fvg_b20_imp15_older_2015_2018_m1","profiles\m15fvg_b20_imp15.set","5C3B0082A99E6D8818BB56B8665EFAE89C3B4CA4856D77E4AE38FEC0FB3048D6","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.50","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"20","m15fvg_b20_imp15","7","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_imp15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_m15fvg_b20_imp15_discovery_2019_2020_m1.ini","m15fvg_b20_imp15_discovery_2019_2020_m1","profiles\m15fvg_b20_imp15.set","5C3B0082A99E6D8818BB56B8665EFAE89C3B4CA4856D77E4AE38FEC0FB3048D6","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.50","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
