"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"may115","3","3","4563.87","","","","","","-210.52","1"
"may122","3","3","3513.79","","","","","","-221.6","1"
"may125","3","3","3487.37","","","","","","-232.68","1"
"may120","3","3","3427.76","","","","","","-221.6","1"
"base","3","3","3176.82","","","","","","214.91","0"
"may110","3","3","2624.75","","","","","","-151.92","1"
