"QueueRank","Candidate","Phase","PhaseLabel","Window","Role","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2019_full","red_year","4","outputs\range_elite_dgf_lossblock_model4_package\configs\001_re_may140_late15_dgf_liq_reject1_cush50_2019_full_m4.ini","outputs\range_elite_dgf_lossblock_model4_package\configs\001_re_may140_late15_dgf_liq_reject1_cush50_2019_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m4","outputs\range_elite_dgf_lossblock_model4_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m4","655B5FC7B5983766B6B13C8B9F97DE6E74CC965D4C9D3E983B195978B470AA2A","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"2","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2021_full","red_year","4","outputs\range_elite_dgf_lossblock_model4_package\configs\002_re_may140_late15_dgf_liq_reject1_cush50_2021_full_m4.ini","outputs\range_elite_dgf_lossblock_model4_package\configs\002_re_may140_late15_dgf_liq_reject1_cush50_2021_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m4","outputs\range_elite_dgf_lossblock_model4_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m4","655B5FC7B5983766B6B13C8B9F97DE6E74CC965D4C9D3E983B195978B470AA2A","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"3","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2023_full","red_year","4","outputs\range_elite_dgf_lossblock_model4_package\configs\003_re_may140_late15_dgf_liq_reject1_cush50_2023_full_m4.ini","outputs\range_elite_dgf_lossblock_model4_package\configs\003_re_may140_late15_dgf_liq_reject1_cush50_2023_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m4","outputs\range_elite_dgf_lossblock_model4_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m4","655B5FC7B5983766B6B13C8B9F97DE6E74CC965D4C9D3E983B195978B470AA2A","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"4","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2024_full","profit_control","4","outputs\range_elite_dgf_lossblock_model4_package\configs\004_re_may140_late15_dgf_liq_reject1_cush50_2024_full_m4.ini","outputs\range_elite_dgf_lossblock_model4_package\configs\004_re_may140_late15_dgf_liq_reject1_cush50_2024_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m4","outputs\range_elite_dgf_lossblock_model4_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m4","655B5FC7B5983766B6B13C8B9F97DE6E74CC965D4C9D3E983B195978B470AA2A","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"5","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2025_full","profit_control","4","outputs\range_elite_dgf_lossblock_model4_package\configs\005_re_may140_late15_dgf_liq_reject1_cush50_2025_full_m4.ini","outputs\range_elite_dgf_lossblock_model4_package\configs\005_re_may140_late15_dgf_liq_reject1_cush50_2025_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2025_m4","outputs\range_elite_dgf_lossblock_model4_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2025_m4","655B5FC7B5983766B6B13C8B9F97DE6E74CC965D4C9D3E983B195978B470AA2A","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"6","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2026_ytd","high_dd_recent","4","outputs\range_elite_dgf_lossblock_model4_package\configs\006_re_may140_late15_dgf_liq_reject1_cush50_2026_ytd_m4.ini","outputs\range_elite_dgf_lossblock_model4_package\configs\006_re_may140_late15_dgf_liq_reject1_cush50_2026_ytd_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2026ytd_m4","outputs\range_elite_dgf_lossblock_model4_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2026ytd_m4","655B5FC7B5983766B6B13C8B9F97DE6E74CC965D4C9D3E983B195978B470AA2A","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"7","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2019_full","red_year","4","outputs\range_elite_dgf_lossblock_model4_package\configs\007_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_full_m4.ini","outputs\range_elite_dgf_lossblock_model4_package\configs\007_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_m4","outputs\range_elite_dgf_lossblock_model4_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_m4","1C0CF498F243ED6002FB74BBE3EA0247348B40F410B12EA74CD4720B998A9543","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"8","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2021_full","red_year","4","outputs\range_elite_dgf_lossblock_model4_package\configs\008_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_full_m4.ini","outputs\range_elite_dgf_lossblock_model4_package\configs\008_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_m4","outputs\range_elite_dgf_lossblock_model4_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_m4","1C0CF498F243ED6002FB74BBE3EA0247348B40F410B12EA74CD4720B998A9543","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"9","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2023_full","red_year","4","outputs\range_elite_dgf_lossblock_model4_package\configs\009_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_full_m4.ini","outputs\range_elite_dgf_lossblock_model4_package\configs\009_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_m4","outputs\range_elite_dgf_lossblock_model4_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_m4","1C0CF498F243ED6002FB74BBE3EA0247348B40F410B12EA74CD4720B998A9543","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"10","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2024_full","profit_control","4","outputs\range_elite_dgf_lossblock_model4_package\configs\010_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_full_m4.ini","outputs\range_elite_dgf_lossblock_model4_package\configs\010_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_m4","outputs\range_elite_dgf_lossblock_model4_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_m4","1C0CF498F243ED6002FB74BBE3EA0247348B40F410B12EA74CD4720B998A9543","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
