QueueRank,Candidate,Role,Window,From,To,PartialRunnerEnabled,ClosePercent,TargetMultiplier,StopLockR,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,TotalTrades,MaxDrawdownPercent,RecoveryFactor,ReturnDrawdown,SourceSha256,BinarySha256,ProfileSha256,ConfigSha256,ReportSha256
11,rvpr_close85,close_neighbor_high,later_2019_2020,2019.01.01,2020.12.31,true,85.0,2.0,0.5,348.78,3.49,1.73,1.88,76,0.93,3.6849,3.7527,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,2541363B483356C03A34808E69A2B16591F4C30CD46CE35D012EE2F19FDA9844,92A076C00AD15E6F37E132F4D65119107EDCF6644F62EA13ED2C33A94907B768,6A57F560730C4C78C31D283D4D0B10666B34A3BEA52E6ED98E73A1F2496EBC15
12,rvpr_close85,close_neighbor_high,continuous_2015_2020,2015.01.01,2020.12.31,true,85.0,2.0,0.5,1325.39,13.25,2.1,1.84,270,1.06,11.216,12.5,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,2541363B483356C03A34808E69A2B16591F4C30CD46CE35D012EE2F19FDA9844,995106B64D7F4AF2A1301E2FA95A55F30D8F89AC6D80690C50D1AB32F3BD52F8,0434663CACEDADF69E4680A26B14AEC81AE3EA9602D12A801217BEA884D75471
13,rvpr_target175,target_neighbor_low,older_2015_2018,2015.01.01,2018.12.31,true,80.0,1.75,0.5,1070.15,10.7,2.58,1.96,191,1.11,9.1302,9.6396,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,CCE7141455CC3393E55E7FA7A322FF11A9D1704051EA23C609BD7D816971DBB5,2D7257AD2DDBCA3EB7464515CDF540573CB6159652D96E3D3E88DA57BD867CB1,5CAF5AE4B1AC91E87117DDB5330603093D92FBB86F7EE32A81A7581520B0AC4C
14,rvpr_target175,target_neighbor_low,later_2019_2020,2019.01.01,2020.12.31,true,80.0,1.75,0.5,348.78,3.49,1.73,1.88,76,0.93,3.6849,3.7527,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,CCE7141455CC3393E55E7FA7A322FF11A9D1704051EA23C609BD7D816971DBB5,8E37D896CAFF8ECAF1696631128D3B8ED00589288154C2F98CF6C4893302E7A5,BE8B6AE2BFD4FBE1DE572282E84A8F179C0A08885587337B3B06615A9089B3E8
15,rvpr_target175,target_neighbor_low,continuous_2015_2020,2015.01.01,2020.12.31,true,80.0,1.75,0.5,1392.02,13.92,2.2,1.87,270,1.05,11.7798,13.2571,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,CCE7141455CC3393E55E7FA7A322FF11A9D1704051EA23C609BD7D816971DBB5,0FEB091CBDA967D9D60EE5B0DF0F2DC5A05D27001BD3493DCF63D2F898615432,AA07D1A2F1509D7455AF5ACA013BED38FA8E7DAA026322FA19D1A55C5F3B6E3E
16,rvpr_target225,target_neighbor_high,older_2015_2018,2015.01.01,2018.12.31,true,80.0,2.25,0.5,962.51,9.63,2.33,1.87,191,1.12,8.2118,8.5982,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,27695824980A58492FEAD6BB43CED9A10E38D42308EFEF0E40A6081F7673E4D8,2D77C47DB7C122D9F31EF0F2508EA15DB84FAF22249501DCA2958C8EF5C97A3E,3CC7277416C4F4BD25E154DF779299323C918E892D121E9AB51D8CAEB1434A04
17,rvpr_target225,target_neighbor_high,later_2019_2020,2019.01.01,2020.12.31,true,80.0,2.25,0.5,348.78,3.49,1.73,1.88,76,0.93,3.6849,3.7527,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,27695824980A58492FEAD6BB43CED9A10E38D42308EFEF0E40A6081F7673E4D8,C6875219C24B02ECBF81BF0A9402B935C96A490B6753665847AC04B541EBC46B,F634FBA2A8CF998BA6D7D2663A52B8E826BBC9FFB44B0C865A7B611A31792D07
18,rvpr_target225,target_neighbor_high,continuous_2015_2020,2015.01.01,2020.12.31,true,80.0,2.25,0.5,1292.95,12.93,2.05,1.81,270,1.06,10.9414,12.1981,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,27695824980A58492FEAD6BB43CED9A10E38D42308EFEF0E40A6081F7673E4D8,4598E0EB41487011157FC5CBFB0BAD28C28E6CBAAAB978738D8855EDA6712A25,A244F907B792430F677F020E343293EE6D8869EFE2AF5F30509040B37BB78A83
19,rvpr_lock025,lock_neighbor_low,older_2015_2018,2015.01.01,2018.12.31,true,80.0,2.0,0.25,1028.88,10.29,2.48,1.93,191,1.12,8.7781,9.1875,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,C3ED211D26979F5AEE7E049CE373831FFC54A324C32226DA50BC845D66C7BB1B,4B36425B6B3723AEEC76CF860BBFCF9CE6DD5E75ABE51E879A1281352343A2E9,9BDF48020ED77F88F50111B33E6F698FDBDA2AF62EA4A15D3A6AC9778427384B
20,rvpr_lock025,lock_neighbor_low,later_2019_2020,2019.01.01,2020.12.31,true,80.0,2.0,0.25,346.89,3.47,1.72,1.88,76,0.93,3.665,3.7312,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,C3ED211D26979F5AEE7E049CE373831FFC54A324C32226DA50BC845D66C7BB1B,EB78F1C4CB1183D7BA0CB7DE1EC76F56E177C44DDB32EAB4C8D468F7AB77C2B9,B92C99E0875F3915264A5E5C740C0A212F3412E8D0BDF48D775D12C7C5262B9F
21,rvpr_lock025,lock_neighbor_low,continuous_2015_2020,2015.01.01,2020.12.31,true,80.0,2.0,0.25,1357.38,13.57,2.14,1.86,270,1.06,11.4867,12.8019,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,C3ED211D26979F5AEE7E049CE373831FFC54A324C32226DA50BC845D66C7BB1B,2F3A4E2F3410127823777C40A35BA0F121EBF8FDADDA8190B705FD241B7D3521,1120C3F90720750002C749C82F2989A4025D851EB192A9A4855B0E9F816F27D6
22,rvpr_lock075,lock_neighbor_high,older_2015_2018,2015.01.01,2018.12.31,true,80.0,2.0,0.75,1006.17,10.06,2.43,1.91,191,1.11,8.5843,9.0631,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,4C54C5DDBEEF865F7CB9544BC0BF6AA25B26FDE7AC6142BF15F3EB9B75071BCA,B8B46C1F04D0390FC5569D0CB3E7BA44A6612322420F1039844831562C444938,44AEC6B93382D30987A230195230E2F830BCDEC95BBEE21903406E89717B6BF9
23,rvpr_lock075,lock_neighbor_high,later_2019_2020,2019.01.01,2020.12.31,true,80.0,2.0,0.75,350.7,3.51,1.74,1.89,76,0.93,3.7052,3.7742,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,4C54C5DDBEEF865F7CB9544BC0BF6AA25B26FDE7AC6142BF15F3EB9B75071BCA,68516E948B447B32FEB2E8CF09984A473BAAB203E1A78F71A34ED73DCC144BA5,F5EF2A7BB88C2F56794B95ADF82061D643ED2F2AA95C719FC411C17985009FE1
24,rvpr_lock075,lock_neighbor_high,continuous_2015_2020,2015.01.01,2020.12.31,true,80.0,2.0,0.75,1338.48,13.38,2.12,1.84,270,1.06,11.3267,12.6226,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,4C54C5DDBEEF865F7CB9544BC0BF6AA25B26FDE7AC6142BF15F3EB9B75071BCA,B9DD97416F428F7068FE79C8A7EBEA21123B01A312979DA074C8175856CD825A,2AA6746C0ED88B48854959AB331C73002232A8E7B4C6C06DC6FCEE1C3FF9A28A
