"Candidate","Role","SummedAnnualNet","SummedTrades","PositiveYears","WorstYearNet","WorstAnnualDrawdownPercent"
"msec_control","exact_control","2260.63","392","12","13.01","1.24"
"msec_center_060","frozen_center","2291.11","388","12","13.01","1.24"
