"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","BollingerDeviation","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","rvbd_control200","1","control","reversion_band_deviation_expansion_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","2.00","rvbd_control200_older_2015_2018_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\001_rvbd_control200_older_2015_2018_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\001_rvbd_control200_older_2015_2018_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_control200_older_2015_2018_m1","B0F985E11AC4243B9778D2F0FA3C3E03090BB8FC8CC1DF7CC2D8765854145498","F44C3C337C8D083F0354A6879EEDAA31AE9094CF8FA050F6D83F0EAA7ED7F540","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"2","rvbd_control200","1","control","reversion_band_deviation_expansion_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","2.00","rvbd_control200_middle_2019_2020_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\002_rvbd_control200_middle_2019_2020_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\002_rvbd_control200_middle_2019_2020_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_control200_middle_2019_2020_m1","A25949B258AFD68919D8BDAF23415C708BDEEF7C8C3E9750A4DEFBFEBE207310","F44C3C337C8D083F0354A6879EEDAA31AE9094CF8FA050F6D83F0EAA7ED7F540","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"3","rvbd_control200","1","control","reversion_band_deviation_expansion_discovery_model1","recent_2021_2023","2021.01.01","2023.12.31","1","10000","2.00","rvbd_control200_recent_2021_2023_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\003_rvbd_control200_recent_2021_2023_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\003_rvbd_control200_recent_2021_2023_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_control200_recent_2021_2023_m1","C73DF77687E7F729196901927BEF2EBF3C254667D05FB0A4C736CCDB843AEAEF","F44C3C337C8D083F0354A6879EEDAA31AE9094CF8FA050F6D83F0EAA7ED7F540","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"4","rvbd_control200","1","control","reversion_band_deviation_expansion_discovery_model1","latest_2024_2026","2024.01.01","2026.07.12","1","10000","2.00","rvbd_control200_latest_2024_2026_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\004_rvbd_control200_latest_2024_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\004_rvbd_control200_latest_2024_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_control200_latest_2024_2026_m1","234F184F54B4254CF02EDBA0F1E43B0EC7C63234B7C3BF19A50BE45D4F7A104C","F44C3C337C8D083F0354A6879EEDAA31AE9094CF8FA050F6D83F0EAA7ED7F540","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"5","rvbd_control200","1","control","reversion_band_deviation_expansion_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","2.00","rvbd_control200_continuous_2015_2026_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\005_rvbd_control200_continuous_2015_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\005_rvbd_control200_continuous_2015_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_control200_continuous_2015_2026_m1","DB2C4BDD450E6897AE4E3703C49419F0807B8263B85EF6F615900487601FC516","F44C3C337C8D083F0354A6879EEDAA31AE9094CF8FA050F6D83F0EAA7ED7F540","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"6","rvbd_neighbor190","2","conservative_neighbor","reversion_band_deviation_expansion_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","1.90","rvbd_neighbor190_older_2015_2018_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\006_rvbd_neighbor190_older_2015_2018_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\006_rvbd_neighbor190_older_2015_2018_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_neighbor190_older_2015_2018_m1","E33E29F8C24290AFDC18494177FB03D929E330376D2B6C7E1F0F55B43D7B4CC9","E4BD081B33364DF4E7482982FB9DA814A23D057FEA496B42789B4906C5F619A6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"7","rvbd_neighbor190","2","conservative_neighbor","reversion_band_deviation_expansion_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","1.90","rvbd_neighbor190_middle_2019_2020_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\007_rvbd_neighbor190_middle_2019_2020_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\007_rvbd_neighbor190_middle_2019_2020_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_neighbor190_middle_2019_2020_m1","53A328E8FAFE6F33B12BCE0ADBCE7AE70545A6E64C4CF616405BC87D9206C190","E4BD081B33364DF4E7482982FB9DA814A23D057FEA496B42789B4906C5F619A6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"8","rvbd_neighbor190","2","conservative_neighbor","reversion_band_deviation_expansion_discovery_model1","recent_2021_2023","2021.01.01","2023.12.31","1","10000","1.90","rvbd_neighbor190_recent_2021_2023_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\008_rvbd_neighbor190_recent_2021_2023_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\008_rvbd_neighbor190_recent_2021_2023_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_neighbor190_recent_2021_2023_m1","90971DF45E200B6F2758257664F2F15BAECA4D6F9B5CBE3F1A7F339FB02CE901","E4BD081B33364DF4E7482982FB9DA814A23D057FEA496B42789B4906C5F619A6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"9","rvbd_neighbor190","2","conservative_neighbor","reversion_band_deviation_expansion_discovery_model1","latest_2024_2026","2024.01.01","2026.07.12","1","10000","1.90","rvbd_neighbor190_latest_2024_2026_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\009_rvbd_neighbor190_latest_2024_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\009_rvbd_neighbor190_latest_2024_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_neighbor190_latest_2024_2026_m1","42E7244E0143D0C503D8E12D8D0705CBB17EFDDCEEC6FFB47C7E05A6AECD375E","E4BD081B33364DF4E7482982FB9DA814A23D057FEA496B42789B4906C5F619A6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"10","rvbd_neighbor190","2","conservative_neighbor","reversion_band_deviation_expansion_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","1.90","rvbd_neighbor190_continuous_2015_2026_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\010_rvbd_neighbor190_continuous_2015_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\010_rvbd_neighbor190_continuous_2015_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_neighbor190_continuous_2015_2026_m1","725A1266ED950F6853119D642E6053FD948C7F871725A7B5C744F337D3FD0C92","E4BD081B33364DF4E7482982FB9DA814A23D057FEA496B42789B4906C5F619A6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
