"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"11","two_lane_risk010","1","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk010.set","2025","2025.01.01","2025.12.31","1","configs\011_two_lane_risk010_2025_m1.ini","two_lane_risk010_2025_m1","profiles\two_lane_risk010.set","7CABA7BFB0C24BE307B261E892F36D7F8C5609B4265E5951543487E95EBDA44D","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk010_2025_m1.htm","10000","364","0.9966","9.67","10009.67","0.1","0.1","0.1","1.3","1.93","0.27","40","5","1","59.9","0.6","27.53","59.9","0.16","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"12","two_lane_risk010","1","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk010.set","2026_ytd","2026.01.01","2026.07.12","1","configs\012_two_lane_risk010_2026_ytd_m1.ini","two_lane_risk010_2026_ytd_m1","profiles\two_lane_risk010.set","7CABA7BFB0C24BE307B261E892F36D7F8C5609B4265E5951543487E95EBDA44D","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk010_2026_ytd_m1.htm","10000","192","0.5257","74.52","10074.52","0.75","1.42","1.42","2.15","24.84","0.7","33.33","3","2","69.49","0.69","64.64","69.49","1.07","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"13","two_lane_risk030","2","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk030.set","2015","2015.01.01","2015.12.31","1","configs\013_two_lane_risk030_2015_m1.ini","two_lane_risk030_2015_m1","profiles\two_lane_risk030.set","BA792F7888C5CF30B439EC49028804055DE0681B33F9BBCB382F6449457279A2","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk030_2015_m1.htm","10000","364","0.9966","-13.56","9986.44","-0.14","-0.14","-0.14","0","-13.56","-0.62","0","1","1","17.16","0.17","13.56","17.16","-0.79","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"14","two_lane_risk030","2","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk030.set","2016","2016.01.01","2016.12.31","1","configs\014_two_lane_risk030_2016_m1.ini","two_lane_risk030_2016_m1","profiles\two_lane_risk030.set","BA792F7888C5CF30B439EC49028804055DE0681B33F9BBCB382F6449457279A2","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk030_2016_m1.htm","10000","365","0.9993","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"15","two_lane_risk030","2","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk030.set","2017","2017.01.01","2017.12.31","1","configs\015_two_lane_risk030_2017_m1.ini","two_lane_risk030_2017_m1","profiles\two_lane_risk030.set","BA792F7888C5CF30B439EC49028804055DE0681B33F9BBCB382F6449457279A2","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk030_2017_m1.htm","10000","364","0.9966","-17.15","9982.85","-0.17","-0.17","-0.17","0","-8.57","-0.88","0","2","2","19.23","0.19","17.15","19.23","-0.89","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"16","two_lane_risk030","2","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk030.set","2018","2018.01.01","2018.12.31","1","configs\016_two_lane_risk030_2018_m1.ini","two_lane_risk030_2018_m1","profiles\two_lane_risk030.set","BA792F7888C5CF30B439EC49028804055DE0681B33F9BBCB382F6449457279A2","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk030_2018_m1.htm","10000","364","0.9966","55.65","10055.65","0.56","0.56","0.56","0","18.55","1.61","100","3","0","9.75","0.1","0","9.75","5.71","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"17","two_lane_risk030","2","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk030.set","2019","2019.01.01","2019.12.31","1","configs\017_two_lane_risk030_2019_m1.ini","two_lane_risk030_2019_m1","profiles\two_lane_risk030.set","BA792F7888C5CF30B439EC49028804055DE0681B33F9BBCB382F6449457279A2","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk030_2019_m1.htm","10000","364","0.9966","-12.52","9987.48","-0.13","-0.13","-0.13","0","-12.52","-0.27","0","1","1","12.52","0.13","12.52","12.52","-1","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"18","two_lane_risk030","2","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk030.set","2020","2020.01.01","2020.12.31","1","configs\018_two_lane_risk030_2020_m1.ini","two_lane_risk030_2020_m1","profiles\two_lane_risk030.set","BA792F7888C5CF30B439EC49028804055DE0681B33F9BBCB382F6449457279A2","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk030_2020_m1.htm","10000","365","0.9993","131.13","10131.13","1.31","1.31","1.31","3.48","13.11","5.93","60","10","1","48.47","0.48","36.12","48.47","2.71","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"19","two_lane_risk030","2","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk030.set","2021","2021.01.01","2021.12.31","1","configs\019_two_lane_risk030_2021_m1.ini","two_lane_risk030_2021_m1","profiles\two_lane_risk030.set","BA792F7888C5CF30B439EC49028804055DE0681B33F9BBCB382F6449457279A2","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk030_2021_m1.htm","10000","364","0.9966","217.83","10217.83","2.18","2.19","2.19","7.35","21.78","4.93","60","10","2","35.25","0.35","20","35.25","6.18","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"20","two_lane_risk030","2","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk030.set","2022","2022.01.01","2022.12.31","1","configs\020_two_lane_risk030_2022_m1.ini","two_lane_risk030_2022_m1","profiles\two_lane_risk030.set","BA792F7888C5CF30B439EC49028804055DE0681B33F9BBCB382F6449457279A2","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk030_2022_m1.htm","10000","364","0.9966","58.41","10058.41","0.58","0.59","0.59","1.86","5.31","4.39","36.36","11","3","35.84","0.36","35.05","35.84","1.63","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"21","two_lane_risk030","2","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk030.set","2023","2023.01.01","2023.12.31","1","configs\021_two_lane_risk030_2023_m1.ini","two_lane_risk030_2023_m1","profiles\two_lane_risk030.set","BA792F7888C5CF30B439EC49028804055DE0681B33F9BBCB382F6449457279A2","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk030_2023_m1.htm","10000","364","0.9966","100.98","10100.98","1.01","1.01","1.01","7.92","11.22","2.15","77.78","9","1","27.88","0.28","9.9","27.88","3.62","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"22","two_lane_risk030","2","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk030.set","2024","2024.01.01","2024.12.31","1","configs\022_two_lane_risk030_2024_m1.ini","two_lane_risk030_2024_m1","profiles\two_lane_risk030.set","BA792F7888C5CF30B439EC49028804055DE0681B33F9BBCB382F6449457279A2","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk030_2024_m1.htm","10000","365","0.9993","-1.63","9998.37","-0.02","-0.02","-0.02","0.97","-0.18","-0.04","33.33","9","3","61.47","0.61","30.06","61.47","-0.03","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"23","two_lane_risk030","2","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk030.set","2025","2025.01.01","2025.12.31","1","configs\023_two_lane_risk030_2025_m1.ini","two_lane_risk030_2025_m1","profiles\two_lane_risk030.set","BA792F7888C5CF30B439EC49028804055DE0681B33F9BBCB382F6449457279A2","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk030_2025_m1.htm","10000","364","0.9966","20.12","10020.12","0.2","0.2","0.2","1.62","3.35","0.69","50","6","1","59.9","0.6","27.53","59.9","0.34","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"24","two_lane_risk030","2","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk030.set","2026_ytd","2026.01.01","2026.07.12","1","configs\024_two_lane_risk030_2026_ytd_m1.ini","two_lane_risk030_2026_ytd_m1","profiles\two_lane_risk030.set","BA792F7888C5CF30B439EC49028804055DE0681B33F9BBCB382F6449457279A2","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk030_2026_ytd_m1.htm","10000","192","0.5257","74.52","10074.52","0.75","1.42","1.42","2.15","24.84","0.7","33.33","3","2","69.49","0.69","64.64","69.49","1.07","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
