"QueueRank","Candidate","Role","Window","From","To","Model","MomentumRiskPercent","AdaptiveRiskPercent","ReversionRiskPercent","PortfolioCapPercent","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","marr_control_015_015","control","older_2015_2018","2015.01.01","2018.12.31","1","0.15","0.15","0.45","0.75","38DF8357A64FEDFA15D1DAA02BCEB962DDF079D16D9B140844AA01C71A939E5A","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","0BF7AEEE1D5F9496A6C7A88012D7059A8D894B2475097C158254670E1A189883","PARSED","1036.19","10.36","2.5","1.96","184","45.65","1.11","8.8405","9.3333","5.45","6","23C4F80602A476C96D5684FE73EF12E27B2FCEAEB4B6A54977A667EBB70E87F4"
"2","marr_control_015_015","control","later_2019_2020","2019.01.01","2020.12.31","1","0.15","0.15","0.45","0.75","38DF8357A64FEDFA15D1DAA02BCEB962DDF079D16D9B140844AA01C71A939E5A","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","0BF7AEEE1D5F9496A6C7A88012D7059A8D894B2475097C158254670E1A189883","PARSED","370.6","3.71","1.84","1.94","74","47.3","0.93","3.9155","3.9892","5.64","6","30D333979B44E169CF135A9DAED169B37481AF25FF8CFC9208033AD216AE797A"
"3","marr_control_015_015","control","continuous_2015_2020","2015.01.01","2020.12.31","1","0.15","0.15","0.45","0.75","38DF8357A64FEDFA15D1DAA02BCEB962DDF079D16D9B140844AA01C71A939E5A","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","0BF7AEEE1D5F9496A6C7A88012D7059A8D894B2475097C158254670E1A189883","PARSED","1379.93","13.8","2.18","1.88","261","45.98","1.05","11.6775","13.1429","5.15","6","A7333006961EC997F2BF5B1AB97F1E9551D57D3B30814F3D16E34E7AA413629C"
"4","marr_016_014","lower_boundary","older_2015_2018","2015.01.01","2018.12.31","1","0.16","0.14","0.45","0.75","DDB4CD78961C3CB9C839DB86F7B9365A925DD6B12AA6AC3252816E4EBEE01167","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","0BF7AEEE1D5F9496A6C7A88012D7059A8D894B2475097C158254670E1A189883","PARSED","978.02","9.78","2.36","1.87","181","45.3","1.15","8.0582","8.5043","5.25","6","260FE6CAC2C351E2B51E9548650A28EC23FF687888BF7BE7B1E8A533919A22D1"
"5","marr_016_014","lower_boundary","later_2019_2020","2019.01.01","2020.12.31","1","0.16","0.14","0.45","0.75","DDB4CD78961C3CB9C839DB86F7B9365A925DD6B12AA6AC3252816E4EBEE01167","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","0BF7AEEE1D5F9496A6C7A88012D7059A8D894B2475097C158254670E1A189883","PARSED","331.93","3.32","1.65","1.76","73","46.58","1.11","2.9463","2.991","4.91","6","1CBD96CB242357487885FBB4B92BAAD2FAF40823DB293FF0E4F432C5D8EFE4B6"
"6","marr_016_014","lower_boundary","continuous_2015_2020","2015.01.01","2020.12.31","1","0.16","0.14","0.45","0.75","DDB4CD78961C3CB9C839DB86F7B9365A925DD6B12AA6AC3252816E4EBEE01167","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","0BF7AEEE1D5F9496A6C7A88012D7059A8D894B2475097C158254670E1A189883","PARSED","1348.66","13.49","2.13","1.82","256","45.7","1.15","11.112","11.7304","5.1","6","6F2368176CA45934058F3EC9DF85008A13BCDF5BD0A956C571E05E2CEFD345E9"
"7","marr_0175_0125","lower_support","older_2015_2018","2015.01.01","2018.12.31","1","0.175","0.125","0.45","0.75","11B28C46D6B6D654AEB850D171780E118AAA84080209BAEC4AC4E8B496896990","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","0BF7AEEE1D5F9496A6C7A88012D7059A8D894B2475097C158254670E1A189883","PARSED","1043.51","10.44","2.51","1.89","173","45.66","1.18","8.3528","8.8475","5.99","6","DD45E377E17EE517B220CCF577F3FA7A9F613FA32247A2CA79D7FCFA30E8A9CB"
"8","marr_0175_0125","lower_support","later_2019_2020","2019.01.01","2020.12.31","1","0.175","0.125","0.45","0.75","11B28C46D6B6D654AEB850D171780E118AAA84080209BAEC4AC4E8B496896990","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","0BF7AEEE1D5F9496A6C7A88012D7059A8D894B2475097C158254670E1A189883","PARSED","322.55","3.23","1.6","1.66","70","47.14","1.12","2.8329","2.8839","5.22","6","EADEDF92B7ACCA8F996858EDABB1CE987A20FD0018B2A52F3AA31A22E80D44DD"
"9","marr_0175_0125","lower_support","continuous_2015_2020","2015.01.01","2020.12.31","1","0.175","0.125","0.45","0.75","11B28C46D6B6D654AEB850D171780E118AAA84080209BAEC4AC4E8B496896990","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","0BF7AEEE1D5F9496A6C7A88012D7059A8D894B2475097C158254670E1A189883","PARSED","1314.27","13.14","2.08","1.75","246","45.53","1.26","9.2613","10.4286","5.27","7","72E365C704F2EC9A1CD4199B80F9B660B758FF7B1B4614F462AF7D3BD7F4AF91"
"10","marr_019_011","upper_support","older_2015_2018","2015.01.01","2018.12.31","1","0.19","0.11","0.45","0.75","730884667A6337AA760933C931EC0A9B111F053B3A043118ACD8BB5566E97EEE","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","0BF7AEEE1D5F9496A6C7A88012D7059A8D894B2475097C158254670E1A189883","PARSED","1074.79","10.75","2.59","1.85","168","46.43","1.25","8.1227","8.6","6.25","6","E51B1685CD84424845AC021676AA3D35BE4705FA59049EDE9C176B9016D5A5ED"
