"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"11","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","11","range_elite_risk_shape_probe","11","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock.set","2025_full","2025.01.01","2025.12.31","1","configs\011_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2025_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2025_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50_dgflossblock.set","BA8C99E7ACE32103F487CD15E03D1A1041DB28482B23057D07849009EF42A217","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2025_m1.htm","1000","364","0.9966","24.38","1024.38","2.44","2.45","2.45","1.5","4.88","0.16","60","5","1","134.4","11.6","28","134.4","0.18","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"12","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","12","range_elite_risk_shape_probe","12","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock.set","2026_ytd","2026.01.01","2026.07.12","1","configs\012_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2026_ytd_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2026ytd_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50_dgflossblock.set","BA8C99E7ACE32103F487CD15E03D1A1041DB28482B23057D07849009EF42A217","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2026ytd_m1.htm","1000","192","0.5257","358.59","1358.59","35.86","68.22","79.13","4.82","51.23","2.12","71.43","7","1","259.17","16.02","81.92","259.17","1.38","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"13","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg","13","range_elite_risk_shape_probe","13","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg.set","2019_full","2019.01.01","2019.12.31","1","configs\013_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2019_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2019_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg.set","B3EB3B9CE7AC116A747FDC745D9208A0B5641AB1E37EFA518F6A592F3FFE86B3","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2019_m1.htm","1000","364","0.9966","-4.52","995.48","-0.45","-0.45","-0.45","0.92","-1.51","-0.05","33.33","3","1","60.4","5.72","35.3","60.4","-0.07","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"14","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg","14","range_elite_risk_shape_probe","14","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg.set","2021_full","2021.01.01","2021.12.31","1","configs\014_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2021_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2021_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg.set","B3EB3B9CE7AC116A747FDC745D9208A0B5641AB1E37EFA518F6A592F3FFE86B3","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2021_m1.htm","1000","364","0.9966","13.52","1013.52","1.35","1.36","1.36","1.46","6.76","0.04","50","2","1","171.39","14.46","29.12","171.39","0.08","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"15","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg","15","range_elite_risk_shape_probe","15","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg.set","2023_full","2023.01.01","2023.12.31","1","configs\015_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2023_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2023_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg.set","B3EB3B9CE7AC116A747FDC745D9208A0B5641AB1E37EFA518F6A592F3FFE86B3","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2023_m1.htm","1000","364","0.9966","308.43","1308.43","30.84","30.95","30.96","3.72","38.55","2.09","50","8","2","344.18","20.83","107.27","344.18","0.9","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"16","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg","16","range_elite_risk_shape_probe","16","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg.set","2024_full","2024.01.01","2024.12.31","1","configs\016_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2024_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2024_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg.set","B3EB3B9CE7AC116A747FDC745D9208A0B5641AB1E37EFA518F6A592F3FFE86B3","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2024_m1.htm","1000","365","0.9993","2091.98","3091.98","209.2","209.34","209.44","5.48","298.85","7.67","85.71","7","1","526.08","14.54","467.2","526.08","3.98","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"17","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg","17","range_elite_risk_shape_probe","17","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg.set","2025_full","2025.01.01","2025.12.31","1","configs\017_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2025_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2025_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg.set","B3EB3B9CE7AC116A747FDC745D9208A0B5641AB1E37EFA518F6A592F3FFE86B3","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2025_m1.htm","1000","364","0.9966","-59.08","940.92","-5.91","-5.93","-5.93","0.47","-7.39","-1.37","37.5","8","3","125.32","11.75","78.04","125.32","-0.47","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"18","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg","18","range_elite_risk_shape_probe","18","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg.set","2026_ytd","2026.01.01","2026.07.12","1","configs\018_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2026_ytd_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2026ytd_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg.set","B3EB3B9CE7AC116A747FDC745D9208A0B5641AB1E37EFA518F6A592F3FFE86B3","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2026ytd_m1.htm","1000","192","0.5257","358.59","1358.59","35.86","68.22","79.13","4.82","51.23","2.12","71.43","7","1","259.17","16.02","81.92","259.17","1.38","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"19","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock","19","range_elite_risk_shape_probe","19","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock.set","2019_full","2019.01.01","2019.12.31","1","configs\019_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2019_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2019_m1","profiles\re_may140_late15_dgf_liq_reject1_cush35_dgflossblock.set","B0D45B828399439C15CEAE942769C902D2EE5EF09D9A679025575A42879D79E8","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2019_m1.htm","1000","364","0.9966","3.4","1003.4","0.34","0.34","0.34","1.07","1.13","0.04","33.33","3","1","60.4","5.68","35.3","60.4","0.06","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"20","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock","20","range_elite_risk_shape_probe","20","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock.set","2021_full","2021.01.01","2021.12.31","1","configs\020_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2021_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2021_m1","profiles\re_may140_late15_dgf_liq_reject1_cush35_dgflossblock.set","B0D45B828399439C15CEAE942769C902D2EE5EF09D9A679025575A42879D79E8","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2021_m1.htm","1000","364","0.9966","22.48","1022.48","2.25","2.26","2.26","2.12","11.24","0.06","50","2","1","162.43","13.71","20.16","162.43","0.14","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"21","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock","21","range_elite_risk_shape_probe","21","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock.set","2023_full","2023.01.01","2023.12.31","1","configs\021_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2023_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2023_m1","profiles\re_may140_late15_dgf_liq_reject1_cush35_dgflossblock.set","B0D45B828399439C15CEAE942769C902D2EE5EF09D9A679025575A42879D79E8","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2023_m1.htm","1000","364","0.9966","269.95","1269.95","26.99","27.09","27.1","3.48","33.74","1.95","50","8","2","332.43","20.75","104.46","332.43","0.81","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"22","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock","22","range_elite_risk_shape_probe","22","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock.set","2024_full","2024.01.01","2024.12.31","1","configs\022_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2024_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2024_m1","profiles\re_may140_late15_dgf_liq_reject1_cush35_dgflossblock.set","B0D45B828399439C15CEAE942769C902D2EE5EF09D9A679025575A42879D79E8","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2024_m1.htm","1000","365","0.9993","1990.29","2990.29","199.03","199.17","199.25","5.4","284.33","7.49","85.71","7","1","509.64","14.56","452.6","509.64","3.91","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"23","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock","23","range_elite_risk_shape_probe","23","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock.set","2025_full","2025.01.01","2025.12.31","1","configs\023_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2025_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2025_m1","profiles\re_may140_late15_dgf_liq_reject1_cush35_dgflossblock.set","B0D45B828399439C15CEAE942769C902D2EE5EF09D9A679025575A42879D79E8","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2025_m1.htm","1000","364","0.9966","4.96","1004.96","0.5","0.5","0.5","1.08","0.99","0.04","60","5","1","134.4","11.8","32.64","134.4","0.04","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"24","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock","24","range_elite_risk_shape_probe","24","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock.set","2026_ytd","2026.01.01","2026.07.12","1","configs\024_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2026_ytd_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2026ytd_m1","profiles\re_may140_late15_dgf_liq_reject1_cush35_dgflossblock.set","B0D45B828399439C15CEAE942769C902D2EE5EF09D9A679025575A42879D79E8","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2026ytd_m1.htm","1000","192","0.5257","17.55","1017.55","1.76","3.34","3.37","1.42","2.92","0.4","66.67","6","1","64.16","5.93","37.38","64.16","0.27","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
