"Window","Model1Net","Model4Net","Model1PF","Model4PF","Model1Trades","Model4Trades","Model1MaxDDPercent","Model4MaxDDPercent"
"continuous_2015_2026","427.61","361.04","2.83","2.83","51","45","0.66","0.58"
"older_2015_2018","13.07","13.10","4.86","4.85","3","3","0.07","0.07"
"middle_2019_2022","285.68","185.00","4.25","3.18","26","21","0.39","0.35"
"recent_2023_2026","114.48","148.64","1.78","2.30","21","20","0.68","0.60"
