"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"","","reversion_partial_runner_discovery_model1","","","older_2015_2018","2015.01.01","2018.12.31","rvpr_control_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_control_older_2015_2018_m1.htm","10000","1460","3.9973","1001.72","11001.72","10.02","2.51","2.42","1.9","5.36","5.25","44.92","187","6","117.21","1.11","84.54","117.21","8.5464"
"","","reversion_partial_runner_discovery_model1","","","later_2019_2020","2019.01.01","2020.12.31","rvpr_control_later_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_control_later_2019_2020_m1.htm","10000","730","1.9986","370.41","10370.41","3.7","1.85","1.84","1.94","4.94","5.57","46.67","75","6","94.65","0.93","73.83","94.65","3.9135"
"","","reversion_partial_runner_discovery_model1","","","continuous_2015_2020","2015.01.01","2020.12.31","rvpr_control_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_control_continuous_2015_2020_m1.htm","10000","2191","5.9986","1353.74","11353.74","13.54","2.26","2.14","1.85","5.11","5.02","45.28","265","6","118.17","1.06","97.35","118.17","11.4559"
"","","reversion_partial_runner_discovery_model1","","","older_2015_2018","2015.01.01","2018.12.31","rvpr_center_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_center_older_2015_2018_m1.htm","10000","1460","3.9973","995","10995","9.95","2.49","2.4","1.9","5.21","4.9","46.07","191","6","117.21","1.12","84.54","117.21","8.489"
"","","reversion_partial_runner_discovery_model1","","","later_2019_2020","2019.01.01","2020.12.31","rvpr_center_later_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_center_later_2019_2020_m1.htm","10000","730","1.9986","348.78","10348.78","3.49","1.75","1.73","1.88","4.59","5.17","47.37","76","6","94.65","0.93","73.83","94.65","3.6849"
"","","reversion_partial_runner_discovery_model1","","","continuous_2015_2020","2015.01.01","2020.12.31","rvpr_center_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_center_continuous_2015_2020_m1.htm","10000","2191","5.9986","1325.39","11325.39","13.25","2.21","2.1","1.84","4.91","4.68","46.3","270","6","118.17","1.06","97.35","118.17","11.216"
"","","reversion_partial_runner_discovery_model1","","","older_2015_2018","2015.01.01","2018.12.31","rvpr_close75_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_close75_older_2015_2018_m1.htm","10000","1460","3.9973","977.54","10977.54","9.78","2.45","2.36","1.88","5.12","4.76","46.07","191","6","117.21","1.12","84.54","117.21","8.3401"
"","","reversion_partial_runner_discovery_model1","","","later_2019_2020","2019.01.01","2020.12.31","rvpr_close75_later_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_close75_later_2019_2020_m1.htm","10000","730","1.9986","341.02","10341.02","3.41","1.71","1.69","1.86","4.49","5.02","47.37","76","6","94.65","0.93","73.83","94.65","3.603"
"","","reversion_partial_runner_discovery_model1","","","continuous_2015_2020","2015.01.01","2020.12.31","rvpr_close75_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_close75_continuous_2015_2020_m1.htm","10000","2191","5.9986","1300.22","11300.22","13","2.17","2.06","1.82","4.82","4.55","46.3","270","6","118.17","1.06","97.35","118.17","11.003"
"","","reversion_partial_runner_discovery_model1","","","older_2015_2018","2015.01.01","2018.12.31","rvpr_close85_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_close85_older_2015_2018_m1.htm","10000","1460","3.9973","995","10995","9.95","2.49","2.4","1.9","5.21","4.9","46.07","191","6","117.21","1.12","84.54","117.21","8.489"
"","","reversion_partial_runner_discovery_model1","","","later_2019_2020","2019.01.01","2020.12.31","rvpr_close85_later_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_close85_later_2019_2020_m1.htm","10000","730","1.9986","348.78","10348.78","3.49","1.75","1.73","1.88","4.59","5.17","47.37","76","6","94.65","0.93","73.83","94.65","3.6849"
"","","reversion_partial_runner_discovery_model1","","","continuous_2015_2020","2015.01.01","2020.12.31","rvpr_close85_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_close85_continuous_2015_2020_m1.htm","10000","2191","5.9986","1325.39","11325.39","13.25","2.21","2.1","1.84","4.91","4.68","46.3","270","6","118.17","1.06","97.35","118.17","11.216"
"","","reversion_partial_runner_discovery_model1","","","older_2015_2018","2015.01.01","2018.12.31","rvpr_target175_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_target175_older_2015_2018_m1.htm","10000","1460","3.9973","1070.15","11070.15","10.7","2.68","2.58","1.96","5.6","5.34","46.07","191","6","117.21","1.11","84.54","117.21","9.1302"
"","","reversion_partial_runner_discovery_model1","","","later_2019_2020","2019.01.01","2020.12.31","rvpr_target175_later_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_target175_later_2019_2020_m1.htm","10000","730","1.9986","348.78","10348.78","3.49","1.75","1.73","1.88","4.59","5.17","47.37","76","6","94.65","0.93","73.83","94.65","3.6849"
