"Worker","RuntimeReady","TerminalVersion","EditorVersion","InstalledSourceSha256","ExactSourceReady","BinarySha256","CompiledIdentityReady","History2019Sha256","History2022Sha256","TickMonths2019","TickMonths2022"
"mt5_portable_research","True","5.0.0.5989","5.0.0.5989","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","True","D1CF2B9B455F7895CB6BEAC47C98CB4266CD30BC1CCD7B701AF2DB35B6B904AD","True","6B9B5DE343D4E0DF241E56072FE2857012628E7BDEDA6F50AB2239181B09EAEC","61F7A887530E05EC278C93C71878FB7C7B44C69221EA82161555809C30A4BBFA","12","0"
"mt5_portable_research_w2","True","5.0.0.5989","5.0.0.5989","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","True","D1CF2B9B455F7895CB6BEAC47C98CB4266CD30BC1CCD7B701AF2DB35B6B904AD","True","6B9B5DE343D4E0DF241E56072FE2857012628E7BDEDA6F50AB2239181B09EAEC","61F7A887530E05EC278C93C71878FB7C7B44C69221EA82161555809C30A4BBFA","12","0"
