"QueueRank","Candidate","Role","Window","From","To","Model","Deposit","FeatureEnabled","MinimumBodyRatio","MinimumCloseLocation","StrongTakeProfitR","ProfileSha256","SourceSha256","BinarySha256","Status","ReportDisposition","IdentitySidecarVerified","PortableExpertRecompiled","InitialDeposit","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","ReportSha256"
"11","sbte_target350","upper_target","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","True","0.50","0.75","3.50","1242394117AF1D5486381B00A4484804206FE4C09E8B702814399CBFF82AEFE8","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","426.09","4.26","2.11","2.08","5.76","5.71","47.3","74","6","1.04","4.053","4.0962","45FC431D30576B0ECB909EF35633643931CAD18C8AF6E7187633A56F640E4197"
"12","sbte_target350","upper_target","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","True","0.50","0.75","3.50","1242394117AF1D5486381B00A4484804206FE4C09E8B702814399CBFF82AEFE8","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","1289.05","12.89","2.04","1.84","4.96","4.47","46.15","260","6","1.48","8.302","8.7095","9D41CA80A1DB9A10A29CDC9FAD8F82C0D7FEFC250E734D7DF370A6EE47575B5D"
"13","sbte_body045","lower_body","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","True","0.45","0.75","3.00","7614AD1D4AD1D3F76CD883C85307F9FBEB8943781EDBFDBAF7FF80AE6507C4BD","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","912.76","9.13","2.21","1.85","4.99","4.59","45.9","183","6","1.48","5.8785","6.1689","A1D8F34D75CBBFDAD5134012EB5F1C35BCED38BECA06E67DD4565C4A878A5EAB"
"14","sbte_body045","lower_body","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","True","0.45","0.75","3.00","7614AD1D4AD1D3F76CD883C85307F9FBEB8943781EDBFDBAF7FF80AE6507C4BD","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","410.71","4.11","2.03","2.04","5.55","5.7","47.3","74","6","0.93","4.3725","4.4194","16CF59783F7ECE8A98E223D9000C87A7E3D03B4150CC461B585B18AD8AB9BF9F"
"15","sbte_body045","lower_body","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","True","0.45","0.75","3.00","7614AD1D4AD1D3F76CD883C85307F9FBEB8943781EDBFDBAF7FF80AE6507C4BD","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","REPRODUCED_AFTER_IDENTITY_RETRY","True","False","10000","1291.4","12.91","2.05","1.84","4.97","4.55","46.15","260","6","1.48","8.3171","8.723","4E97FEF13EBBBCB92043453644DF580C0E811DFC021E083EBEF193CC3EF1A9D7"
"16","sbte_body055","upper_body","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","True","0.55","0.75","3.00","55BC57799D141D43E8D78D25387A494CFEDA5E5756C03D819A7F879931B808CC","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","914.53","9.15","2.21","1.85","5","4.61","45.9","183","6","1.48","5.8899","6.1824","ECA391FFCE82F99BA1C52CC3C24166D6AE795E3A9152EE1D5F20B9BF4D1B47E5"
"17","sbte_body055","upper_body","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","True","0.55","0.75","3.00","55BC57799D141D43E8D78D25387A494CFEDA5E5756C03D819A7F879931B808CC","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","410.71","4.11","2.03","2.04","5.55","5.7","47.3","74","6","0.93","4.3725","4.4194","C86FCFA99A61AEA0569BEF16539459235E67ABB4A2639843B86AA24ECB583905"
"18","sbte_body055","upper_body","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","True","0.55","0.75","3.00","55BC57799D141D43E8D78D25387A494CFEDA5E5756C03D819A7F879931B808CC","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","1293.17","12.93","2.05","1.84","4.97","4.56","46.15","260","6","1.48","8.3285","8.7365","32555988F804085BCD0433D80084CBE9C70A42842C4EB4E38DF03950F5CD9404"
"19","sbte_close070","lower_close","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","True","0.50","0.70","3.00","05B64123732575BAC529C9AF59FC5FCA510140E2B3878AC1463DA0FAC9961275","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","944.58","9.45","2.28","1.88","5.16","4.7","45.9","183","6","1.48","6.0835","6.3851","67467379D73E171556C6EBF519AAF6525B63BDC2A8753472255618E1D2724A35"
"20","sbte_close070","lower_close","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","True","0.50","0.70","3.00","05B64123732575BAC529C9AF59FC5FCA510140E2B3878AC1463DA0FAC9961275","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","424.59","4.25","2.1","2.08","5.74","5.87","47.3","74","6","0.93","4.5203","4.5699","2E3112804E40905377C38F7A1EDE5FC88CC5179F4AA2C93AF5671BC00F6ABBA3"
"21","sbte_close070","lower_close","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","True","0.50","0.70","3.00","05B64123732575BAC529C9AF59FC5FCA510140E2B3878AC1463DA0FAC9961275","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","REPRODUCED_AFTER_IDENTITY_RETRY","True","False","10000","1331.59","13.32","2.11","1.86","5.12","4.65","46.15","260","6","1.48","8.576","9","77461BB9527491B626EE35380C311D3BE807C3A7648AAEED5E911050F34DA71D"
"22","sbte_close080","upper_close","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","True","0.50","0.80","3.00","9271CD5474F2E7F9EBF5D240505A29389B9599F4A7339EFB94941511CAC5A97C","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","908.71","9.09","2.2","1.85","4.97","4.6","45.9","183","6","1.48","5.8525","6.1419","E0116DB8F9F2A65D7B4F90950B35C68B9F84E3EB3C79D40FAB709A309AACC1EC"
"23","sbte_close080","upper_close","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","True","0.50","0.80","3.00","9271CD5474F2E7F9EBF5D240505A29389B9599F4A7339EFB94941511CAC5A97C","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","442.49","4.42","2.19","2.12","5.98","6.28","47.3","74","6","0.86","5.0838","5.1395","6A271B15E9B990DF0F60BDC7B15D48F7DDF46DF312EEE5529BC1193779D025A9"
"24","sbte_close080","upper_close","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","True","0.50","0.80","3.00","9271CD5474F2E7F9EBF5D240505A29389B9599F4A7339EFB94941511CAC5A97C","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","REPRODUCED_AFTER_IDENTITY_RETRY","True","False","10000","1328.25","13.28","2.1","1.86","5.11","4.72","46.15","260","6","1.48","8.5545","8.973","9561EFB57B016D1F91F3536E380A2DF716EA0C42FF56C34B62824C749C542EF9"
