"QueueRank","Candidate","CandidateRank","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","LookbackDays","MaximumSetupRangeATR","BreakoutBufferATR","MinimumBodyPercent","MinimumVolumeRatio","EMAFilter","EMAPeriod","ADXFilter","TakeProfitR","ChandelierTrail","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","dnrb_center","1","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_center_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_center_older_2015_2018_m1.htm","55666ABD028EA50344820DA7125377FE02F400241DF4FB1E14A0B0990371BA33","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","false","3.00","true","10000","1460","3.9973","-6.28","9993.72","-0.06","-0.02","-0.02","0.68","-0.9","-0.25","28.57","7","3","33.59","0.34","-0.187"
"2","dnrb_center","1","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_center_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_center_discovery_2019_2020_m1.htm","55666ABD028EA50344820DA7125377FE02F400241DF4FB1E14A0B0990371BA33","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","false","3.00","true","10000","730","1.9986","-11.02","9988.98","-0.11","-0.06","-0.06","0","-3.67","-0.58","0","3","3","15.06","0.15","-0.7317"
"3","dnrb_center","1","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_center_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_center_continuous_2015_2020_m1.htm","55666ABD028EA50344820DA7125377FE02F400241DF4FB1E14A0B0990371BA33","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","false","3.00","true","10000","2191","5.9986","-17.3","9982.7","-0.17","-0.03","-0.03","0.43","-1.73","-1.08","20","10","3","33.59","0.34","-0.515"
"4","dnrb_nr5","2","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_nr5_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr5_older_2015_2018_m1.htm","805547219C6EECCA4964DE2E795966A2250732FBAEB8DF34134F39346E4FC1CA","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","5","0.85","0.05","35.0","1.00","true","50","false","3.00","true","10000","1460","3.9973","-6.28","9993.72","-0.06","-0.02","-0.02","0.68","-0.9","-0.25","28.57","7","3","33.59","0.34","-0.187"
"5","dnrb_nr5","2","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_nr5_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr5_discovery_2019_2020_m1.htm","805547219C6EECCA4964DE2E795966A2250732FBAEB8DF34134F39346E4FC1CA","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","5","0.85","0.05","35.0","1.00","true","50","false","3.00","true","10000","730","1.9986","-7.06","9992.94","-0.07","-0.04","-0.04","0.36","-1.77","-0.29","25","4","2","17.9","0.18","-0.3944"
"6","dnrb_nr5","2","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_nr5_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr5_continuous_2015_2020_m1.htm","805547219C6EECCA4964DE2E795966A2250732FBAEB8DF34134F39346E4FC1CA","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","5","0.85","0.05","35.0","1.00","true","50","false","3.00","true","10000","2191","5.9986","-13.34","9986.66","-0.13","-0.02","-0.02","0.56","-1.21","-0.92","27.27","11","3","33.59","0.34","-0.3971"
"7","dnrb_nr10","3","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_nr10_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr10_older_2015_2018_m1.htm","C0D187B2A48830259E6F0419CD8A48EFD38749A4EB00E95B755D39A41EBA7710","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","10","0.85","0.05","35.0","1.00","true","50","false","3.00","true","10000","1460","3.9973","6.24","10006.24","0.06","0.02","0.02","1.9","1.25","0.2","40","5","2","21.07","0.21","0.2962"
"8","dnrb_nr10","3","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_nr10_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr10_discovery_2019_2020_m1.htm","C0D187B2A48830259E6F0419CD8A48EFD38749A4EB00E95B755D39A41EBA7710","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","10","0.85","0.05","35.0","1.00","true","50","false","3.00","true","10000","730","1.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0",""
"9","dnrb_nr10","3","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_nr10_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr10_continuous_2015_2020_m1.htm","C0D187B2A48830259E6F0419CD8A48EFD38749A4EB00E95B755D39A41EBA7710","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","10","0.85","0.05","35.0","1.00","true","50","false","3.00","true","10000","2191","5.9986","6.24","10006.24","0.06","0.01","0.01","1.9","1.25","0.2","40","5","2","21.07","0.21","0.2962"
"10","dnrb_maxatr070","4","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_maxatr070_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_maxatr070_older_2015_2018_m1.htm","F8E4BF7F48002BF1381D9DC4456874368254D6365EC8FA523E129CFA9A84CBBE","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.70","0.05","35.0","1.00","true","50","false","3.00","true","10000","1460","3.9973","1.62","10001.62","0.02","0","0","1.14","0.27","0.05","33.33","6","3","25.69","0.26","0.0631"
