"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","StrongSignalMinimumBodyRatio","StrongSignalRiskEnabled","StrongSignalRiskPercent","StrongSignalLotCapEnabled","StrongSignalMaximumPositionLots","ReversionRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","jsa_control","1","control","joint_strong_allocation_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.250","false","0.600","true","0.15","0.45","0.75","jsa_control_older_2015_2018_m1","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\001_jsa_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\001_jsa_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\reports_here\jsa_control_older_2015_2018_m1","061776CFADDE78D5A702DAF7B71BEB574D1E7B37821E6262417175FB0884C8D9","645417AAC132E4DEC24F5A923A572E0AF5999177C454C25E84FF88CAC0245069","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Sealed pre-2021 joint-allocation discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +3%; CAGR >= control +0.05 point; PF/recovery/return-DD >= control; DD <=1.20% and <=control +0.08 point; trades >=control -2. Center must beat the risk-only reference in net and return/DD. At least 3 of 4 orthogonal risk/body neighbors pass both eras, >=1.5% net improvement, >=0.03 CAGR point, >=97% efficiency, DD <=1.24%, and changed behavior. No post-result rescue."
"2","jsa_control","1","control","joint_strong_allocation_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","0.250","false","0.600","true","0.15","0.45","0.75","jsa_control_later_2019_2020_m1","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\002_jsa_control_later_2019_2020_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\002_jsa_control_later_2019_2020_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\reports_here\jsa_control_later_2019_2020_m1","C0BD7EF27FA210B3629A09152033145F3C1F989A38BFCE91BCDB216966066F1E","645417AAC132E4DEC24F5A923A572E0AF5999177C454C25E84FF88CAC0245069","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Sealed pre-2021 joint-allocation discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +3%; CAGR >= control +0.05 point; PF/recovery/return-DD >= control; DD <=1.20% and <=control +0.08 point; trades >=control -2. Center must beat the risk-only reference in net and return/DD. At least 3 of 4 orthogonal risk/body neighbors pass both eras, >=1.5% net improvement, >=0.03 CAGR point, >=97% efficiency, DD <=1.24%, and changed behavior. No post-result rescue."
"3","jsa_control","1","control","joint_strong_allocation_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.250","false","0.600","true","0.15","0.45","0.75","jsa_control_continuous_2015_2020_m1","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\003_jsa_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\003_jsa_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\reports_here\jsa_control_continuous_2015_2020_m1","6FC8117356D20A5F770E9AB6344422C79620DFF7F627A122E4273CE9E8F32275","645417AAC132E4DEC24F5A923A572E0AF5999177C454C25E84FF88CAC0245069","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Sealed pre-2021 joint-allocation discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +3%; CAGR >= control +0.05 point; PF/recovery/return-DD >= control; DD <=1.20% and <=control +0.08 point; trades >=control -2. Center must beat the risk-only reference in net and return/DD. At least 3 of 4 orthogonal risk/body neighbors pass both eras, >=1.5% net improvement, >=0.03 CAGR point, >=97% efficiency, DD <=1.24%, and changed behavior. No post-result rescue."
"4","jsa_risk_only_reference","2","risk_only_reference","joint_strong_allocation_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.250","true","0.650","false","0.15","0.45","0.75","jsa_risk_only_reference_older_2015_2018_m1","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\004_jsa_risk_only_reference_older_2015_2018_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\004_jsa_risk_only_reference_older_2015_2018_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\reports_here\jsa_risk_only_reference_older_2015_2018_m1","D8D7BF7F492785961218DE1FA70189EE2E8075024F9AE87B78DB45FC09B530B3","8877DBEB67F28169E7E04AB0E6BDE15133F70206D59D5E5AFE5346D252079884","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Sealed pre-2021 joint-allocation discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +3%; CAGR >= control +0.05 point; PF/recovery/return-DD >= control; DD <=1.20% and <=control +0.08 point; trades >=control -2. Center must beat the risk-only reference in net and return/DD. At least 3 of 4 orthogonal risk/body neighbors pass both eras, >=1.5% net improvement, >=0.03 CAGR point, >=97% efficiency, DD <=1.24%, and changed behavior. No post-result rescue."
"5","jsa_risk_only_reference","2","risk_only_reference","joint_strong_allocation_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","0.250","true","0.650","false","0.15","0.45","0.75","jsa_risk_only_reference_later_2019_2020_m1","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\005_jsa_risk_only_reference_later_2019_2020_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\005_jsa_risk_only_reference_later_2019_2020_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\reports_here\jsa_risk_only_reference_later_2019_2020_m1","A439AE490EF81CDACC916861C23BD7125F149C2908D016E88997CECE12A0232E","8877DBEB67F28169E7E04AB0E6BDE15133F70206D59D5E5AFE5346D252079884","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Sealed pre-2021 joint-allocation discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +3%; CAGR >= control +0.05 point; PF/recovery/return-DD >= control; DD <=1.20% and <=control +0.08 point; trades >=control -2. Center must beat the risk-only reference in net and return/DD. At least 3 of 4 orthogonal risk/body neighbors pass both eras, >=1.5% net improvement, >=0.03 CAGR point, >=97% efficiency, DD <=1.24%, and changed behavior. No post-result rescue."
"6","jsa_risk_only_reference","2","risk_only_reference","joint_strong_allocation_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.250","true","0.650","false","0.15","0.45","0.75","jsa_risk_only_reference_continuous_2015_2020_m1","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\006_jsa_risk_only_reference_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\006_jsa_risk_only_reference_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\reports_here\jsa_risk_only_reference_continuous_2015_2020_m1","406441378FDB1E1C1435318D8E868A72B1B3AC28F5600EE583033556099FA031","8877DBEB67F28169E7E04AB0E6BDE15133F70206D59D5E5AFE5346D252079884","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Sealed pre-2021 joint-allocation discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +3%; CAGR >= control +0.05 point; PF/recovery/return-DD >= control; DD <=1.20% and <=control +0.08 point; trades >=control -2. Center must beat the risk-only reference in net and return/DD. At least 3 of 4 orthogonal risk/body neighbors pass both eras, >=1.5% net improvement, >=0.03 CAGR point, >=97% efficiency, DD <=1.24%, and changed behavior. No post-result rescue."
"7","jsa_r060","3","risk_lower_neighbor","joint_strong_allocation_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.250","true","0.600","true","0.15","0.45","0.75","jsa_r060_older_2015_2018_m1","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\007_jsa_r060_older_2015_2018_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\007_jsa_r060_older_2015_2018_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\reports_here\jsa_r060_older_2015_2018_m1","DFE72489D8841F83ABE8EFE4F15012F0BC8177796F453EFEC6A367811CCFD26B","77E289FCC90AEFC85352AC87EFB5C928E933A7B5E7DB09FD6769429CB54E4048","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Sealed pre-2021 joint-allocation discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +3%; CAGR >= control +0.05 point; PF/recovery/return-DD >= control; DD <=1.20% and <=control +0.08 point; trades >=control -2. Center must beat the risk-only reference in net and return/DD. At least 3 of 4 orthogonal risk/body neighbors pass both eras, >=1.5% net improvement, >=0.03 CAGR point, >=97% efficiency, DD <=1.24%, and changed behavior. No post-result rescue."
"8","jsa_r060","3","risk_lower_neighbor","joint_strong_allocation_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","0.250","true","0.600","true","0.15","0.45","0.75","jsa_r060_later_2019_2020_m1","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\008_jsa_r060_later_2019_2020_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\008_jsa_r060_later_2019_2020_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\reports_here\jsa_r060_later_2019_2020_m1","AFEEB8CE2C0A4C02E3194E984C3ADA11D00169220A6C365B8D95424F116B14AA","77E289FCC90AEFC85352AC87EFB5C928E933A7B5E7DB09FD6769429CB54E4048","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Sealed pre-2021 joint-allocation discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +3%; CAGR >= control +0.05 point; PF/recovery/return-DD >= control; DD <=1.20% and <=control +0.08 point; trades >=control -2. Center must beat the risk-only reference in net and return/DD. At least 3 of 4 orthogonal risk/body neighbors pass both eras, >=1.5% net improvement, >=0.03 CAGR point, >=97% efficiency, DD <=1.24%, and changed behavior. No post-result rescue."
"9","jsa_r060","3","risk_lower_neighbor","joint_strong_allocation_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.250","true","0.600","true","0.15","0.45","0.75","jsa_r060_continuous_2015_2020_m1","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\009_jsa_r060_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\009_jsa_r060_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\reports_here\jsa_r060_continuous_2015_2020_m1","2E999EFE62E61B4FDF84E2836BF7FA0F471B4FED446AB6C41C45E6AA562C00EF","77E289FCC90AEFC85352AC87EFB5C928E933A7B5E7DB09FD6769429CB54E4048","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Sealed pre-2021 joint-allocation discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +3%; CAGR >= control +0.05 point; PF/recovery/return-DD >= control; DD <=1.20% and <=control +0.08 point; trades >=control -2. Center must beat the risk-only reference in net and return/DD. At least 3 of 4 orthogonal risk/body neighbors pass both eras, >=1.5% net improvement, >=0.03 CAGR point, >=97% efficiency, DD <=1.24%, and changed behavior. No post-result rescue."
"10","jsa_center_r065","4","center","joint_strong_allocation_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.250","true","0.650","true","0.15","0.45","0.75","jsa_center_r065_older_2015_2018_m1","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\010_jsa_center_r065_older_2015_2018_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\configs\010_jsa_center_r065_older_2015_2018_m1.ini","outputs\three_lane_reversion_joint_strong_allocation_discovery_model1_package\reports_here\jsa_center_r065_older_2015_2018_m1","560F74CC3EA4382726509B92E80E6FCA4FC945293E3DA00E76CEBA73DB7838A5","EE54CAC7D5A3169B136A5266E38A9354149DE6E7D184F36163711847E964647E","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Sealed pre-2021 joint-allocation discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +3%; CAGR >= control +0.05 point; PF/recovery/return-DD >= control; DD <=1.20% and <=control +0.08 point; trades >=control -2. Center must beat the risk-only reference in net and return/DD. At least 3 of 4 orthogonal risk/body neighbors pass both eras, >=1.5% net improvement, >=0.03 CAGR point, >=97% efficiency, DD <=1.24%, and changed behavior. No post-result rescue."
