"Candidate","OlderNetProfit","PreNetProfit","TransitionNetProfit","RecentNetProfit","ContinuousNetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","ProfileGatePass"
"drns_fixed6","187.2","59.59","181.94","-66.41","364.6","3.65","0.31","1.22","351","1.07","3.2565","3.4112","False"
"drns_pct025","190.09","74.62","103.87","-18.42","350.15","3.5","0.3","1.21","352","1.09","3.0968","3.211","False"
"drns_pct030","187.2","65.02","187.84","-7.93","430.93","4.31","0.37","1.25","366","1.01","4.0704","4.2673","False"
"drns_pct035","187.2","59.59","181.94","-7.93","423.08","4.23","0.36","1.25","368","1.04","4.0787","4.0673","False"
"drns_atr_only","187.2","59.59","181.94","-7.93","423.08","4.23","0.36","1.25","368","1.04","4.0787","4.0673","False"
