Profile,Window,FromDate,ToDate,HandoffConfig,ExpectedReportName,PairGroup,Notes
baseline_promoted,2026_YTD,2026.01.01,2026.07.02,outputs/adx_filter_probe_handoff/configs/001_baseline_promoted_2026_ytd.ini,outputs\adx_probe_baseline_promoted_2026_YTD,baseline,ADX filter off baseline.
baseline_promoted_adx18,2026_YTD,2026.01.01,2026.07.02,outputs/adx_filter_probe_handoff/configs/002_baseline_promoted_adx18_2026_ytd.ini,outputs\adx_probe_baseline_promoted_adx18_2026_YTD,baseline,ADX 18 filter on baseline.
tp38_sl18,2026_YTD,2026.01.01,2026.07.02,outputs/adx_filter_probe_handoff/configs/003_tp38_sl18_2026_ytd.ini,outputs\adx_probe_tp38_sl18_2026_YTD,tp38,ADX filter off TP38 candidate.
tp38_sl18_adx18,2026_YTD,2026.01.01,2026.07.02,outputs/adx_filter_probe_handoff/configs/004_tp38_sl18_adx18_2026_ytd.ini,outputs\adx_probe_tp38_sl18_adx18_2026_YTD,tp38,ADX 18 filter on TP38 candidate.
