"Rank","Profile","Phase","Model","Set","Window","From","To","HandoffConfig","ExpectedReportName","GuardrailStatus","GuardrailScore","RiskFlags","OverfitFlags"
"1","tp38_sl18_london_07_16","phase1_session_variant","2","session_variant","2026_YTD","2026.01.01","2026.07.02","outputs\session_variant_handoff\configs\001_tp38_sl18_london_07_16_session_variant_2026_YTD.ini","session_variant_tp38_sl18_london_07_16_2026_YTD","REVIEW_REQUIRED","90","session_filter_candidate","adaptive_reverse_requires_walk_forward"
"2","baseline_promoted_london_pair","phase1_session_variant","2","session_variant","2026_YTD","2026.01.01","2026.07.02","outputs\session_variant_handoff\configs\002_baseline_promoted_london_pair_session_variant_2026_YTD.ini","session_variant_baseline_promoted_london_pair_2026_YTD","REVIEW_REQUIRED","82","equity_drawdown_guard_disabled","adaptive_reverse_requires_walk_forward"
"3","tp38_sl18_newyork_13_22","phase1_session_variant","2","session_variant","2026_YTD","2026.01.01","2026.07.02","outputs\session_variant_handoff\configs\003_tp38_sl18_newyork_13_22_session_variant_2026_YTD.ini","session_variant_tp38_sl18_newyork_13_22_2026_YTD","REVIEW_REQUIRED","90","session_filter_candidate","adaptive_reverse_requires_walk_forward"
"4","baseline_promoted_newyork_pair","phase1_session_variant","2","session_variant","2026_YTD","2026.01.01","2026.07.02","outputs\session_variant_handoff\configs\004_baseline_promoted_newyork_pair_session_variant_2026_YTD.ini","session_variant_baseline_promoted_newyork_pair_2026_YTD","REVIEW_REQUIRED","82","equity_drawdown_guard_disabled","adaptive_reverse_requires_walk_forward"
"5","tp38_sl18_overlap_13_16","phase1_session_variant","2","session_variant","2026_YTD","2026.01.01","2026.07.02","outputs\session_variant_handoff\configs\005_tp38_sl18_overlap_13_16_session_variant_2026_YTD.ini","session_variant_tp38_sl18_overlap_13_16_2026_YTD","REVIEW_REQUIRED","90","session_filter_candidate","adaptive_reverse_requires_walk_forward"
"6","baseline_promoted_overlap_pair","phase1_session_variant","2","session_variant","2026_YTD","2026.01.01","2026.07.02","outputs\session_variant_handoff\configs\006_baseline_promoted_overlap_pair_session_variant_2026_YTD.ini","session_variant_baseline_promoted_overlap_pair_2026_YTD","REVIEW_REQUIRED","82","equity_drawdown_guard_disabled","adaptive_reverse_requires_walk_forward"
