Scenario,Trials,Seed,MaxSlippageR,MaxDelayR,MaxSpreadShockR,SpreadShockProbability,MissedWinnerProbability,P05NetProfit,MedianNetProfit,P95NetProfit,MedianProfitFactor,P95MaxClosedDrawdownPercent,P95MaxConsecutiveLosses,LossStreakWarningThreshold,RedTrialPercent,CapitalGate,LossStreakAdvisory,Status
standard,10000,26071701,0.04,0.06,0.08,0.1,0.05,896.54,1110.95,1249.14,1.378,4.366,14.0,12.0,0.0,PASS,WARN,PASS_WITH_STREAK_WARNING
severe,10000,26071702,0.08,0.12,0.16,0.2,0.1,286.74,560.8,768.59,1.178,5.77,16.0,14.0,0.09,PASS,WARN,PASS_WITH_STREAK_WARNING
