Scenario,Year,Period,Trades,StartingBalance,NetProfit,EndingBalance,ReturnPercent
base_real_ticks,2015,Full year,21,10000.0,155.07,10155.07,1.551
base_real_ticks,2016,Full year,36,10155.07,209.32,10364.39,2.061
base_real_ticks,2017,Full year,46,10364.39,170.94,10535.33,1.649
base_real_ticks,2018,Full year,50,10535.33,270.77,10806.1,2.57
base_real_ticks,2019,Full year,33,10806.1,-38.3,10767.8,-0.354
base_real_ticks,2020,Full year,31,10767.8,-44.44,10723.36,-0.413
base_real_ticks,2021,Full year,30,10723.36,359.78,11083.14,3.355
base_real_ticks,2022,Full year,36,11083.14,40.07,11123.21,0.362
base_real_ticks,2023,Full year,40,11123.21,144.99,11268.2,1.303
base_real_ticks,2024,Full year,31,11268.2,132.9,11401.1,1.179
base_real_ticks,2025,Full year,6,11401.1,5.08,11406.18,0.045
base_real_ticks,2026,Partial through 2026-07-16,2,11406.18,209.18,11615.36,1.834
modest_extra_cost,2015,Full year,21,10000.0,143.32,10143.33,1.433
modest_extra_cost,2016,Full year,36,10143.33,195.28,10338.61,1.925
modest_extra_cost,2017,Full year,46,10338.61,143.13,10481.74,1.384
modest_extra_cost,2018,Full year,50,10481.74,244.04,10725.77,2.328
modest_extra_cost,2019,Full year,33,10725.77,-51.8,10673.98,-0.483
modest_extra_cost,2020,Full year,31,10673.98,-57.13,10616.85,-0.535
modest_extra_cost,2021,Full year,30,10616.85,345.61,10962.45,3.255
modest_extra_cost,2022,Full year,36,10962.45,29.14,10991.59,0.266
modest_extra_cost,2023,Full year,40,10991.59,130.0,11121.59,1.183
modest_extra_cost,2024,Full year,31,11121.59,120.88,11242.48,1.087
modest_extra_cost,2025,Full year,6,11242.48,2.11,11244.59,0.019
modest_extra_cost,2026,Partial through 2026-07-16,2,11244.59,208.64,11453.23,1.855
moderate_extra_cost,2015,Full year,21,10000.0,131.58,10131.58,1.316
moderate_extra_cost,2016,Full year,36,10131.58,181.24,10312.82,1.789
moderate_extra_cost,2017,Full year,46,10312.82,115.32,10428.14,1.118
moderate_extra_cost,2018,Full year,50,10428.14,217.31,10645.45,2.084
moderate_extra_cost,2019,Full year,33,10645.45,-65.3,10580.15,-0.613
moderate_extra_cost,2020,Full year,31,10580.15,-69.82,10510.33,-0.66
moderate_extra_cost,2021,Full year,30,10510.33,331.43,10841.76,3.153
moderate_extra_cost,2022,Full year,36,10841.76,18.2,10859.96,0.168
moderate_extra_cost,2023,Full year,40,10859.96,115.02,10974.98,1.059
moderate_extra_cost,2024,Full year,31,10974.98,108.87,11083.85,0.992
moderate_extra_cost,2025,Full year,6,11083.85,-0.86,11082.99,-0.008
moderate_extra_cost,2026,Partial through 2026-07-16,2,11082.99,208.1,11291.09,1.878
severe_extra_cost,2015,Full year,21,10000.0,111.57,10111.57,1.116
severe_extra_cost,2016,Full year,36,10111.57,157.32,10268.89,1.556
severe_extra_cost,2017,Full year,46,10268.89,67.94,10336.83,0.662
severe_extra_cost,2018,Full year,50,10336.83,171.77,10508.6,1.662
severe_extra_cost,2019,Full year,33,10508.6,-88.3,10420.3,-0.84
severe_extra_cost,2020,Full year,31,10420.3,-91.44,10328.86,-0.878
severe_extra_cost,2021,Full year,30,10328.86,307.28,10636.14,2.975
severe_extra_cost,2022,Full year,36,10636.14,-0.43,10635.71,-0.004
severe_extra_cost,2023,Full year,40,10635.71,89.49,10725.2,0.841
severe_extra_cost,2024,Full year,31,10725.2,88.4,10813.6,0.824
severe_extra_cost,2025,Full year,6,10813.6,-5.92,10807.68,-0.055
severe_extra_cost,2026,Partial through 2026-07-16,2,10807.68,207.18,11014.86,1.917
extreme_extra_cost,2015,Full year,21,10000.0,90.69,10090.69,0.907
extreme_extra_cost,2016,Full year,36,10090.69,132.36,10223.05,1.312
extreme_extra_cost,2017,Full year,46,10223.05,18.5,10241.55,0.181
extreme_extra_cost,2018,Full year,50,10241.55,124.25,10365.8,1.213
extreme_extra_cost,2019,Full year,33,10365.8,-112.3,10253.5,-1.083
extreme_extra_cost,2020,Full year,31,10253.5,-114.0,10139.5,-1.112
extreme_extra_cost,2021,Full year,30,10139.5,282.08,10421.58,2.782
extreme_extra_cost,2022,Full year,36,10421.58,-19.87,10401.71,-0.191
extreme_extra_cost,2023,Full year,40,10401.71,62.85,10464.56,0.604
extreme_extra_cost,2024,Full year,31,10464.56,67.04,10531.6,0.641
extreme_extra_cost,2025,Full year,6,10531.6,-11.2,10520.4,-0.106
extreme_extra_cost,2026,Partial through 2026-07-16,2,10520.4,206.22,10726.62,1.96
