Lane,ProfileId,SourceHash,RunLabel,EntryTime,ExitTime,EntryYear,EntryMonth,EntryHour,DayOfWeek,Symbol,Side,Volume,EntryPrice,ExitPrice,InitialStop,InitialRiskMoney,RiskR,HoldMinutes,Profit,Winner,EntryComment,ExitComment
reversion,tlp_rv_m12,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-01-05 18:00:00,2015-01-05 20:19:28,2015,1,18,Monday,XAUUSD,sell,0.09,1198.66,1203.23,1203.22,41.0400,-1.002193,139.47,-41.13,False,upper-band reclaim; DI edge -6.99,sl 1203.22
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-01-08 06:00:00,2015-01-08 15:00:00,2015,1,6,Thursday,XAUUSD,sell,0.02,1207.33,1210.43,1214.53,14.4000,-0.430556,540.0,-6.20,False,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-03-11 12:00:00,2015-03-12 01:05:00,2015,3,12,Wednesday,XAUUSD,sell,0.02,1158.38,1155.53,1165.01,13.2600,0.408748,785.0,5.42,True,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-05-13 15:00:00,2015-05-13 16:39:30,2015,5,15,Wednesday,XAUUSD,buy,0.02,1197.21,1208.21,1191.72,10.9800,2.003643,99.5,22.00,True,daily momentum plus fresh H1 breakout,tp 1208.20
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-06-04 16:00:00,2015-06-05 16:24:28,2015,6,16,Thursday,XAUUSD,sell,0.02,1178.93,1164.85,1185.97,14.0800,1.993608,1464.47,28.07,True,daily momentum plus fresh H1 breakout,tp 1164.85
reversion,tlp_rv_m12,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-06-15 20:00:00,2015-06-16 16:11:29,2015,6,20,Monday,XAUUSD,sell,0.10,1188.24,1181.26,1190.97,27.3000,2.539927,1211.48,69.34,True,upper-band reclaim; DI edge -11.49,tp 1181.26
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-06-30 14:00:00,2015-06-30 19:00:00,2015,6,14,Tuesday,XAUUSD,sell,0.03,1173.14,1176.70,1177.66,13.5600,-0.787611,300.0,-10.68,False,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-07-02 10:00:00,2015-07-02 15:20:13,2015,7,10,Thursday,XAUUSD,sell,0.04,1165.45,1159.12,1168.62,12.6800,1.996845,320.22,25.32,True,daily momentum plus fresh H1 breakout,tp 1159.12
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-07-06 11:00:00,2015-07-06 18:00:00,2015,7,11,Monday,XAUUSD,sell,0.03,1164.51,1167.53,1169.26,14.2500,-0.635789,420.0,-9.06,False,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-07-22 15:00:00,2015-07-23 02:00:00,2015,7,15,Wednesday,XAUUSD,sell,0.01,1088.50,1095.55,1096.78,8.2800,-0.868357,660.0,-7.19,False,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-07-31 10:00:00,2015-07-31 15:30:40,2015,7,10,Friday,XAUUSD,sell,0.03,1081.72,1086.59,1086.57,14.5500,-1.004124,330.67,-14.61,False,daily momentum plus fresh H1 breakout,sl 1086.57
