"Candidate","Windows","TotalNetProfit","WorstWindowNetProfit","BestWindowNetProfit","ProfitableWindows","FlatWindows","LosingWindows"
"bos_only_min1","5","249.12","-135.93","341.5","3","0","2"
"sweep_only_min1","5","238.35","-180.39","401.26","3","0","2"
"bos_sweep_min1_no_adaptive","5","200.64","-157.24","315.89","3","0","2"
"bos_sweep_min2","5","157.38","-49.92","130.7","2","2","1"
"bos_sweep_min1_h4trend","5","-8.37","-175.11","310.68","2","0","3"
"bos_sweep_min1_adx22","5","-259.52","-159.79","45.57","2","0","3"
"bos_sweep_min1_rr2","5","-265.73","-163.62","80.63","2","0","3"
"bos_sweep_min1","5","-352.21","-163.62","42.84","1","0","4"
