"Candidate","Windows","TotalNetProfit","WorstWindowNetProfit","BestWindowNetProfit","ProfitableWindows","FlatWindows","LosingWindows"
"no_date_momentum_sweep","5","462.28","-24.5","251.4","4","0","1"
"no_date_bos_sweep_only","5","157.38","-49.92","130.7","2","2","1"
"no_date_confirm3","5","57.63","-139.35","395.73","2","0","3"
"no_date_signal_h4","5","-68.3","-68.3","0","0","4","1"
"no_date_mtftrend_h4","5","-79.72","-135.46","95.16","2","0","3"
"no_date_buy2_sell3","5","-109.41","-150.46","205.67","1","0","4"
"no_date_mtftrend_d1","5","-122.72","-132.75","112.15","2","0","3"
"no_date_rr2","5","-134.22","-191.14","302.34","2","0","3"
"no_date_no_adaptive","5","-317.72","-151","67.13","1","0","4"
"no_date_wider_stop","5","-323.41","-121.03","103.05","1","0","4"
"no_date_current","5","-583.3","-206.77","-15.63","0","0","5"
"no_date_no_ema_cross","5","-704.74","-206.77","-48.79","0","0","5"
