"Variant","TotalNetProfit","WorstNetProfit","ProfitableWindows","LosingWindows"
"adx25_no_trail","408.42","-139.52","1","2"
"confirm3_ny","388.49","-53.83","2","1"
"confirm3_adx22","73.56","-139.35","1","2"
"adx22_no_trail","-11.56","-139.52","2","1"
"confirm3_no_trail","-40.23","-140.18","1","2"
"confirm3_adx25","-41.67","-139.35","1","2"
"ny_adx25","-48.64","-165.49","2","1"
"london_adx25","-106.03","-132.38","1","2"
"ny_no_trail","-194.37","-156.68","1","2"
"confirm3_london","-242.84","-148.06","1","2"
