"Set","Windows","TotalNetProfit","WorstWindowNetProfit","BestWindowNetProfit","ProfitableWindows","FlatWindows","LosingWindows"
"quarter","10","314.76","-99.84","261.4","2","7","1"
"month","30","314.76","-99.84","261.4","2","27","1"
