"Set","Windows","TotalNetProfit","WorstWindowNetProfit","BestWindowNetProfit","ProfitableWindows","FlatWindows","LosingWindows"
"quarter","10","540.51","-148.99","444.38","2","7","1"
"month","30","540.51","-148.99","444.38","2","27","1"
