"Window","From","To","Balance","NetProfit","RuntimeLine"
"2024","2024.01.01","2024.12.31","1135.42","135.42","DN	0	14:06:11.643	Core 01	XAUUSD,M15: 38025509 ticks, 23646 bars generated. Environment synchronized in 0:00:00.031. Test passed in 0:00:12.750 (including ticks preprocessing 0:00:01.031)."
"2025","2025.01.01","2025.12.31","1153.2","153.2","IJ	0	14:06:31.373	Core 01	XAUUSD,M15: 33192004 ticks, 23464 bars generated. Environment synchronized in 0:00:00.027. Test passed in 0:00:10.909 (including ticks preprocessing 0:00:01.563)."
"2026_ytd","2026.01.01","2026.07.02","1000","0","LK	0	14:07:06.915	Core 01	XAUUSD,M15: 86211491 ticks, 11461 bars generated. Environment synchronized in 0:00:01.038. Test passed in 0:00:26.212 (including ticks preprocessing 0:00:04.688)."
"2024_H1","2024.01.01","2024.06.30","900.16","-99.84","QE	0	14:07:23.044	Core 01	XAUUSD,M15: 20923194 ticks, 11737 bars generated. Environment synchronized in 0:00:00.031. Test passed in 0:00:06.236 (including ticks preprocessing 0:00:00.500)."
"2024_H2","2024.07.01","2024.12.31","1261.4","261.4","QL	0	14:07:38.713	Core 01	XAUUSD,M15: 17102315 ticks, 11909 bars generated. Environment synchronized in 0:00:00.028. Test passed in 0:00:06.174 (including ticks preprocessing 0:00:00.437)."
"2025_H1","2025.01.01","2025.06.30","1000","0","QP	0	14:07:50.299	Core 01	XAUUSD,M15: 11188778 ticks, 11533 bars generated. Environment synchronized in 0:00:00.030. Test passed in 0:00:02.777 (including ticks preprocessing 0:00:00.313)."
"2025_H2","2025.07.01","2025.12.31","1153.2","153.2","IF	0	14:08:07.381	Core 01	XAUUSD,M15: 21926190 ticks, 11839 bars generated. Environment synchronized in 0:00:01.041. Test passed in 0:00:08.235 (including ticks preprocessing 0:00:01.016)."
"2026_H1","2026.01.01","2026.06.30","1000","0","MG	0	14:08:42.356	Core 01	XAUUSD,M15: 84963595 ticks, 11285 bars generated. Environment synchronized in 0:00:01.038. Test passed in 0:00:25.170 (including ticks preprocessing 0:00:04.547)."
"full","2024.01.01","2026.07.02","1319.26","319.26","RM	0	14:09:50.081	Core 01	XAUUSD,M15: 158316982 ticks, 58755 bars generated. Environment synchronized in 0:00:00.029. Test passed in 0:00:58.467 (including ticks preprocessing 0:00:07.297)."
