"Priority","Profile","Phase2Seed","Phase1Configs","Phase2Configs","Family","RiskBand","RiskPercent","StopATR","TakeProfitATR","MinRR","TrailATR","BreakEven","GivebackGuard","Overrides","RiskNote"
"1","baseline_promoted","True","8","11","baseline","baseline","1.60","1.80","3.50","1.50","","false","false","","ok"
"2","tp38_sl18","True","8","11","take_profit","baseline","1.60","1.80","3.80","1.50","","false","false","InpTakeProfitATRMultiplier=3.80","ok"
"3","tp42_sl18","True","8","11","take_profit","baseline","1.60","1.80","4.20","1.50","","false","false","InpTakeProfitATRMultiplier=4.20","ok"
"4","tp38_sl16","True","8","11","take_profit+stop_loss","baseline","1.60","1.60","3.80","1.50","","false","false","InpStopATRMultiplier=1.60;InpTakeProfitATRMultiplier=3.80","ok"
"5","tp42_sl16","True","8","11","take_profit+stop_loss","baseline","1.60","1.60","4.20","1.50","","false","false","InpStopATRMultiplier=1.60;InpTakeProfitATRMultiplier=4.20","ok"
"6","tp45_sl18","False","8","0","take_profit","baseline","1.60","1.80","4.50","1.50","","false","false","InpTakeProfitATRMultiplier=4.50","ok"
"7","tp38_sl20","False","8","0","take_profit+stop_loss","baseline","1.60","2.00","3.80","1.50","","false","false","InpStopATRMultiplier=2.00;InpTakeProfitATRMultiplier=3.80","ok"
"8","trail14_tp38","False","8","0","take_profit+trailing","baseline","1.60","1.80","3.80","1.50","1.40","false","false","InpTakeProfitATRMultiplier=3.80;InpTrailATRMultiplier=1.40","ok"
"9","trail18_tp38","False","8","0","take_profit+trailing","baseline","1.60","1.80","3.80","1.50","1.80","false","false","InpTakeProfitATRMultiplier=3.80;InpTrailATRMultiplier=1.80","ok"
"10","rr18_tp42","False","8","0","take_profit+risk_reward","baseline","1.60","1.80","4.20","1.80","","false","false","InpMinRiskReward=1.80;InpTakeProfitATRMultiplier=4.20","ok"
"11","risk18_tp38_sl18","False","8","0","take_profit+risk","moderate","1.80","1.80","3.80","1.50","","false","false","InpRiskPercent=1.80;InpTakeProfitATRMultiplier=3.80","ok"
"12","risk20_tp38_sl18","False","8","0","take_profit+risk","aggressive","2.00","1.80","3.80","1.50","","false","false","InpRiskPercent=2.00;InpTakeProfitATRMultiplier=3.80","aggressive risk, phase1 prune only"
"13","risk14_tp42_sl16","False","8","0","take_profit+stop_loss+risk","reduced","1.40","1.60","4.20","1.50","","false","false","InpRiskPercent=1.40;InpStopATRMultiplier=1.60;InpTakeProfitATRMultiplier=4.20","ok"
"14","giveback25_tp38","False","8","0","take_profit+giveback","baseline","1.60","1.80","3.80","1.50","","false","true","InpDailyProfitGivebackPercent=25.0;InpMonthlyProfitGivebackPercent=25.0;InpTakeProfitATRMultiplier=3.80;InpUseProfitGivebackGuard=true;InpWeeklyProfitGivebackPercent=25.0","guard behavior must preserve full-period profit"
"15","giveback35_tp38","False","8","0","take_profit+giveback","baseline","1.60","1.80","3.80","1.50","","false","true","InpTakeProfitATRMultiplier=3.80;InpUseProfitGivebackGuard=true","guard behavior must preserve full-period profit"
"16","be12_tp38","False","8","0","take_profit+break_even","baseline","1.60","1.80","3.80","1.50","","true","false","InpBreakEvenBufferPoints=20;InpBreakEvenTriggerR=1.20;InpTakeProfitATRMultiplier=3.80;InpUseBreakEven=true","breakeven can reduce winners; validate expectancy"
