"Variant","TotalNetProfit","WorstNetProfit","ProfitableWindows","FlatWindows","LosingWindows"
"buy500_sell0","-444.2","-145.19","1","0","4"
"buy0_sell-500","-457.79","-133.72","0","0","5"
"buy500_sell-500","-476.06","-150.52","1","0","4"
"buy0_sell0","-535.04","-145.19","0","0","5"
"buy250_sell-250","-556.68","-152.3","0","0","5"
"buy750_sell-750","-560.23","-150.52","0","0","5"
"buy-250_sell250","-614.31","-189.69","0","0","5"
