"Window","From","To","Balance","NetProfit","RuntimeLine"
"2024","2024.01.01","2024.12.31","1483.59","483.59","PF	0	18:38:43.875	Core 01	XAUUSD,M15: 38025509 ticks, 23646 bars generated. Environment synchronized in 0:00:00.032. Test passed in 0:00:15.263 (including ticks preprocessing 0:00:01.015)."
"2025","2025.01.01","2025.12.31","1260.44","260.44","IP	0	18:39:05.987	Core 01	XAUUSD,M15: 33192004 ticks, 23464 bars generated. Environment synchronized in 0:00:00.029. Test passed in 0:00:12.450 (including ticks preprocessing 0:00:01.500)."
"2026_ytd","2026.01.01","2026.07.02","1000","0","IQ	0	18:39:42.219	Core 01	XAUUSD,M15: 86211491 ticks, 11461 bars generated. Environment synchronized in 0:00:01.037. Test passed in 0:00:28.783 (including ticks preprocessing 0:00:05.125)."
"2024_H1","2024.01.01","2024.06.30","1000","0","GI	0	18:39:56.469	Core 01	XAUUSD,M15: 20923194 ticks, 11737 bars generated. Environment synchronized in 0:00:00.034. Test passed in 0:00:06.835 (including ticks preprocessing 0:00:00.531)."
"2024_H2","2024.07.01","2024.12.31","1483.59","483.59","CF	0	18:40:11.846	Core 01	XAUUSD,M15: 17102315 ticks, 11909 bars generated. Environment synchronized in 0:00:00.033. Test passed in 0:00:07.189 (including ticks preprocessing 0:00:00.453)."
"2025_H1","2025.01.01","2025.06.30","1000","0","CJ	0	18:40:24.124	Core 01	XAUUSD,M15: 11188778 ticks, 11533 bars generated. Environment synchronized in 0:00:00.035. Test passed in 0:00:03.060 (including ticks preprocessing 0:00:00.344)."
"2025_H2","2025.07.01","2025.12.31","1260.44","260.44","JN	0	18:40:41.535	Core 01	XAUUSD,M15: 21926190 ticks, 11839 bars generated. Environment synchronized in 0:00:01.036. Test passed in 0:00:09.729 (including ticks preprocessing 0:00:01.219)."
"2026_H1","2026.01.01","2026.06.30","1000","0","NO	0	18:41:21.102	Core 01	XAUUSD,M15: 84963595 ticks, 11285 bars generated. Environment synchronized in 0:00:01.036. Test passed in 0:00:30.416 (including ticks preprocessing 0:00:05.219)."
"full","2024.01.01","2026.07.02","1866.59","866.59","CL	0	18:42:37.813	Core 01	XAUUSD,M15: 158316982 ticks, 58755 bars generated. Environment synchronized in 0:00:00.028. Test passed in 0:01:08.309 (including ticks preprocessing 0:00:08.078)."
