"Variant","TotalNetProfit","WorstNetProfit","ProfitableWindows","LosingWindows"
"buy2_sell3_ny","109.7","-51.13","1","2"
"buy3_sell2","75.64","-141.06","1","2"
"buy3_sell3","50.04","-139.35","1","2"
"buy2_sell3_adx22","-65.91","-149.61","1","2"
"buy2_sell3_adx25","-106.81","-167.83","1","2"
"buy2_sell3","-157.19","-150.46","1","2"
"buy2_sell3_no_trail","-174.75","-187.57","1","2"
"buy2_sell3_london","-180.32","-145.27","0","3"
"buy2_sell4","-321.41","-150.07","0","3"
