"Set","Windows","TotalNetProfit","WorstWindowNetProfit","BestWindowNetProfit","ProfitableWindows","FlatWindows","LosingWindows"
"quarter","10","487.46","-149.76","392.1","2","7","1"
"month","30","487.46","-149.76","392.1","2","27","1"
