"Window","From","To","Balance","NetProfit","RuntimeLine"
"2024","2024.01.01","2024.12.31","1176.99","176.99","DJ	0	15:08:40.412	Core 01	XAUUSD,M15: 38025509 ticks, 23646 bars generated. Environment synchronized in 0:00:00.030. Test passed in 0:00:12.733 (including ticks preprocessing 0:00:00.985)."
"2025","2025.01.01","2025.12.31","1245.12","245.12","OD	0	15:09:01.163	Core 01	XAUUSD,M15: 33192004 ticks, 23464 bars generated. Environment synchronized in 0:00:00.027. Test passed in 0:00:11.005 (including ticks preprocessing 0:00:01.547)."
"2026_ytd","2026.01.01","2026.07.02","1000","0","JJ	0	15:09:37.269	Core 01	XAUUSD,M15: 86211491 ticks, 11461 bars generated. Environment synchronized in 0:00:01.045. Test passed in 0:00:26.506 (including ticks preprocessing 0:00:04.641)."
"2024_H1","2024.01.01","2024.06.30","850.24","-149.76","JD	0	15:09:53.389	Core 01	XAUUSD,M15: 20923194 ticks, 11737 bars generated. Environment synchronized in 0:00:00.029. Test passed in 0:00:06.428 (including ticks preprocessing 0:00:00.547)."
"2024_H2","2024.07.01","2024.12.31","1392.1","392.1","FO	0	15:10:09.542	Core 01	XAUUSD,M15: 17102315 ticks, 11909 bars generated. Environment synchronized in 0:00:00.030. Test passed in 0:00:05.831 (including ticks preprocessing 0:00:00.390)."
"2025_H1","2025.01.01","2025.06.30","1000","0","KS	0	15:10:21.412	Core 01	XAUUSD,M15: 11188778 ticks, 11533 bars generated. Environment synchronized in 0:00:00.030. Test passed in 0:00:02.748 (including ticks preprocessing 0:00:00.313)."
"2025_H2","2025.07.01","2025.12.31","1245.12","245.12","GG	0	15:10:38.812	Core 01	XAUUSD,M15: 21926190 ticks, 11839 bars generated. Environment synchronized in 0:00:01.044. Test passed in 0:00:08.393 (including ticks preprocessing 0:00:01.093)."
"2026_H1","2026.01.01","2026.06.30","1000","0","ME	0	15:11:15.698	Core 01	XAUUSD,M15: 84963595 ticks, 11285 bars generated. Environment synchronized in 0:00:01.042. Test passed in 0:00:28.253 (including ticks preprocessing 0:00:04.453)."
"full","2024.01.01","2026.07.02","1452.75","452.75","JL	0	15:12:39.148	Core 01	XAUUSD,M15: 158316982 ticks, 58755 bars generated. Environment synchronized in 0:00:00.038. Test passed in 0:01:12.995 (including ticks preprocessing 0:00:08.578)."
