"Window","From","To","Balance","NetProfit","RuntimeLine"
"2024","2024.01.01","2024.12.31","1230.04","230.04","HK	0	17:36:19.012	Core 01	XAUUSD,M15: 38025509 ticks, 23646 bars generated. Environment synchronized in 0:00:00.031. Test passed in 0:00:12.715 (including ticks preprocessing 0:00:00.891)."
"2025","2025.01.01","2025.12.31","1245.12","245.12","JJ	0	17:36:39.379	Core 01	XAUUSD,M15: 33192004 ticks, 23464 bars generated. Environment synchronized in 0:00:00.032. Test passed in 0:00:11.337 (including ticks preprocessing 0:00:01.391)."
"2026_ytd","2026.01.01","2026.07.02","1000","0","IK	0	17:37:14.262	Core 01	XAUUSD,M15: 86211491 ticks, 11461 bars generated. Environment synchronized in 0:00:01.037. Test passed in 0:00:25.373 (including ticks preprocessing 0:00:04.812)."
"2024_H1","2024.01.01","2024.06.30","851.01","-148.99","EJ	0	17:37:30.167	Core 01	XAUUSD,M15: 20923194 ticks, 11737 bars generated. Environment synchronized in 0:00:00.031. Test passed in 0:00:06.167 (including ticks preprocessing 0:00:00.532)."
"2024_H2","2024.07.01","2024.12.31","1444.38","444.38","ES	0	17:37:44.936	Core 01	XAUUSD,M15: 17102315 ticks, 11909 bars generated. Environment synchronized in 0:00:00.032. Test passed in 0:00:05.744 (including ticks preprocessing 0:00:00.485)."
"2025_H1","2025.01.01","2025.06.30","1000","0","OG	0	17:37:57.229	Core 01	XAUUSD,M15: 11188778 ticks, 11533 bars generated. Environment synchronized in 0:00:00.033. Test passed in 0:00:02.961 (including ticks preprocessing 0:00:00.375)."
"2025_H2","2025.07.01","2025.12.31","1245.12","245.12","IK	0	17:38:14.012	Core 01	XAUUSD,M15: 21926190 ticks, 11839 bars generated. Environment synchronized in 0:00:01.040. Test passed in 0:00:07.865 (including ticks preprocessing 0:00:01.250)."
"2026_H1","2026.01.01","2026.06.30","1000","0","LH	0	17:38:50.540	Core 01	XAUUSD,M15: 84963595 ticks, 11285 bars generated. Environment synchronized in 0:00:01.040. Test passed in 0:00:26.507 (including ticks preprocessing 0:00:04.719)."
"full","2024.01.01","2026.07.02","1521.12","521.12","KP	0	17:40:04.432	Core 01	XAUUSD,M15: 158316982 ticks, 58755 bars generated. Environment synchronized in 0:00:00.029. Test passed in 0:01:04.033 (including ticks preprocessing 0:00:07.188)."
