"Rank","Profile","Phase","Grade","EvidenceComplete","Parsed","MissingReports","UnparsedReports","TotalNetProfit","WorstWindowNetProfit","LosingWindows","Decision","Reason"
"1","baseline_promoted","phase2_real_tick_validation","MissingEvidence","False","0/11","11","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"2","baseline_promoted","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"3","tp38_sl18","phase2_real_tick_validation","MissingEvidence","False","0/11","11","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"4","tp38_sl18","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"5","tp42_sl18","phase2_real_tick_validation","MissingEvidence","False","0/11","11","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"6","tp42_sl18","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"7","tp38_sl16","phase2_real_tick_validation","MissingEvidence","False","0/11","11","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"8","tp38_sl16","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"9","tp42_sl16","phase2_real_tick_validation","MissingEvidence","False","0/11","11","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"10","tp42_sl16","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"11","tp45_sl18","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"12","tp38_sl20","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"13","trail14_tp38","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"14","trail18_tp38","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"15","rr18_tp42","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"16","risk18_tp38_sl18","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"17","risk20_tp38_sl18","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"18","risk14_tp42_sl16","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"19","giveback25_tp38","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"20","giveback35_tp38","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
"21","be12_tp38","phase1_fast_triage","MissingEvidence","False","0/8","8","0","0","","0","RunMissingReports","Run or import the missing reports for this profile and phase."
