Profile,Window,FromDate,ToDate,HandoffConfig,ExpectedReportName,PairGroup,Notes
baseline_promoted,2026_YTD,2026.01.01,2026.07.02,outputs/time_exit_probe_handoff/configs/001_baseline_promoted_2026_ytd.ini,outputs\time_exit_probe_baseline_promoted_2026_YTD,baseline,Time exit off baseline.
baseline_promoted_time_exit,2026_YTD,2026.01.01,2026.07.02,outputs/time_exit_probe_handoff/configs/002_baseline_promoted_time_exit_2026_ytd.ini,outputs\time_exit_probe_baseline_promoted_time_exit_2026_YTD,baseline,Time exit on baseline.
tp38_sl18,2026_YTD,2026.01.01,2026.07.02,outputs/time_exit_probe_handoff/configs/003_tp38_sl18_2026_ytd.ini,outputs\time_exit_probe_tp38_sl18_2026_YTD,tp38,Time exit off TP38 candidate.
tp38_sl18_time_exit,2026_YTD,2026.01.01,2026.07.02,outputs/time_exit_probe_handoff/configs/004_tp38_sl18_time_exit_2026_ytd.ini,outputs\time_exit_probe_tp38_sl18_time_exit_2026_YTD,tp38,Time exit on TP38 candidate.
