"Rank","Profile","Phase","Model","Set","Window","From","To","HandoffConfig","ExpectedReportName","GuardrailStatus","GuardrailScore","RiskFlags","OverfitFlags"
"1","baseline_promoted","phase1_structure_trailing_probe","2","structure_trailing_probe","2026_YTD","2026.01.01","2026.07.02","outputs\structure_trailing_probe_handoff\configs\001_baseline_promoted_structure_probe_2026_YTD.ini","structure_probe_baseline_promoted_2026_YTD","REVIEW_REQUIRED","82","equity_drawdown_guard_disabled","adaptive_reverse_requires_walk_forward"
"2","baseline_promoted_structure_trail","phase1_structure_trailing_probe","2","structure_trailing_probe","2026_YTD","2026.01.01","2026.07.02","outputs\structure_trailing_probe_handoff\configs\002_baseline_promoted_structure_trail_probe_2026_YTD.ini","structure_probe_baseline_promoted_structure_trail_2026_YTD","REVIEW_REQUIRED","84","structure_trailing_candidate;equity_drawdown_guard_disabled","adaptive_reverse_requires_walk_forward;requires_full_walk_forward"
"3","tp38_sl18","phase1_structure_trailing_probe","2","structure_trailing_probe","2026_YTD","2026.01.01","2026.07.02","outputs\structure_trailing_probe_handoff\configs\003_tp38_sl18_structure_probe_2026_YTD.ini","structure_probe_tp38_sl18_2026_YTD","REVIEW_REQUIRED","90","","adaptive_reverse_requires_walk_forward"
"4","tp38_sl18_structure_trail","phase1_structure_trailing_probe","2","structure_trailing_probe","2026_YTD","2026.01.01","2026.07.02","outputs\structure_trailing_probe_handoff\configs\004_tp38_sl18_structure_trail_probe_2026_YTD.ini","structure_probe_tp38_sl18_structure_trail_2026_YTD","REVIEW_REQUIRED","92","structure_trailing_candidate","adaptive_reverse_requires_walk_forward;requires_full_walk_forward"
