"Path","Bytes","Sha256"
"evidence/OPERATIONAL_HARDENING_RC2_CONTRACT_CANARY.md","730","3EAB78E0C310E1EF49AEFE1EF52D246FF5B5B2117387481173C28253589AFC13"
"evidence/OPERATIONAL_HARDENING_RC2_CONTRACT_CANARY_EVIDENCE.csv","391","FC6C39BDF6400417D2384E26AD02DFB9B9C80221E0BFB4CDFAFECD7F817AF37A"
"evidence/OPERATIONAL_HARDENING_RC2_CONTRACT_CANARY_RESULTS.csv","1405","3622AB28E2551641A3BB3688ED7DBCCFF663CD92B81E41E618E3F1D6CAD9FC2C"
"evidence/OPERATIONAL_HARDENING_RC2_DECISION.md","3453","03920AD2536D9967BD874A1F9F1C35235A62E3F9040F3F915527717087D99621"
"evidence/OPERATIONAL_HARDENING_RC2_FIDELITY.csv","528","16002A19E07DEB89A646F9EF89D3A751D87B37DFFEA80176451FB89094057E03"
"evidence/OPERATIONAL_HARDENING_RC2_MODEL1_COMPILE.log","6768","8C04BB0C3CC8E98CACBC264B55E83B638DF424112BAA6C410437E2D72191B649"
"evidence/OPERATIONAL_HARDENING_RC2_MODEL1_RESULTS.csv","1589","8DAE56BF69EBA2545B81A58926016F1CF7F5A2B46EFE46C8574BFD11C23B9072"
"evidence/OPERATIONAL_HARDENING_RC2_MODEL4_COMPILE.log","6768","06CB7823BA327DF2E1301F908426861A2F371935E55CAC7A259BA6A8531719BF"
"evidence/OPERATIONAL_HARDENING_RC2_MODEL4_RESULTS.csv","1588","9AE4B2FBDA87DCB08CE0B09E25F6AB76D224AA921611CE416F740B2E2594B567"
"OPERATIONAL_HARDENING_PROFILE.set","4683","5C45D578B42609D3792EA692D5A13A9E0D90C8C14D0376F807E6F6079EC6B827"
"Professional_XAUUSD_Operational_Hardening_Portfolio_RC2.mq5","63693","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302"
"README.md","3524","7AA1C5BD4B781B3460CAF3BF4DC720544F73C2A3B60E844AC5F600CF5235D056"
