Profile,Window,FromDate,ToDate,HandoffConfig,ExpectedReportName,PairGroup,Notes
baseline_promoted,2026_YTD,2026.01.01,2026.07.02,outputs/news_filter_probe_handoff/configs/001_baseline_promoted_2026_ytd.ini,outputs\news_filter_probe_baseline_promoted_2026_YTD,baseline,News filter off baseline.
baseline_promoted_news_filter,2026_YTD,2026.01.01,2026.07.02,outputs/news_filter_probe_handoff/configs/002_baseline_promoted_news_filter_2026_ytd.ini,outputs\news_filter_probe_baseline_promoted_news_filter_2026_YTD,baseline,News filter on baseline with first-Friday NFP blackout.
tp38_sl18,2026_YTD,2026.01.01,2026.07.02,outputs/news_filter_probe_handoff/configs/003_tp38_sl18_2026_ytd.ini,outputs\news_filter_probe_tp38_sl18_2026_YTD,tp38,News filter off TP38 candidate.
tp38_sl18_news_filter,2026_YTD,2026.01.01,2026.07.02,outputs/news_filter_probe_handoff/configs/004_tp38_sl18_news_filter_2026_ytd.ini,outputs\news_filter_probe_tp38_sl18_news_filter_2026_YTD,tp38,News filter on TP38 candidate with first-Friday NFP blackout.
