"Rank","SourceRank","Profile","Phase","Model","Set","Window","From","To","HandoffConfig","SourceConfig","ExpectedReportName","GuardrailStatus","GuardrailScore","RiskFlags","OverfitFlags"
"1","1","tp38_sl18","phase1_fast_triage","2","stress_smoke","2024_Q1","2024.01.01","2024.03.31","outputs\stress_smoke_handoff\configs\001_tp38_sl18_stress_smoke_2024_Q1_phase1_fast_triage.ini","outputs\micro_test_handoff\configs\001_tp38_sl18_stress_2024_Q1_phase1_fast_triage.ini","stress_smoke_phase1_tp38_sl18_2024_Q1","REVIEW_REQUIRED","90","","adaptive_reverse_requires_walk_forward"
"2","6","baseline_promoted","phase1_fast_triage","2","stress_smoke","2024_Q1","2024.01.01","2024.03.31","outputs\stress_smoke_handoff\configs\002_baseline_promoted_stress_smoke_2024_Q1_phase1_fast_triage.ini","outputs\micro_test_handoff\configs\002_baseline_promoted_stress_2024_Q1_phase1_fast_triage.ini","stress_smoke_phase1_baseline_promoted_2024_Q1","REVIEW_REQUIRED","82","equity_drawdown_guard_disabled","adaptive_reverse_requires_walk_forward"
